,driver,startLocation,endLocation,startTime,endTime,meansOfTransport,distance,timespan,duration,delay,trafficViolation,cost
0,Bang,Shanghai,Shijiazhuang,1352537329804.541,1352573329804.541,1,979.82868046353,4,300,90,1,3000
1,Bang,Chongqing,Hefei,1352623729804.541,1352659729804.541,1,992.7933477919529,4,300,90,1,3000
2,Bang,Wuxi,Kunming,1352710129804.541,1352746129804.541,2,1843.5389083734965,2,300,90,1,3000
3,Bang,Chongqing,Shanghai,1352796529804.541,1352832529804.541,3,1364.0807481289414,3,300,90,1,3000
4,Bang,Shijiazhuang,Chengdu,1352882929804.541,1352918929804.541,1,1259.7086576589788,3,300,90,1,3000
5,Bang,Guiyang,Wuxi,1352969329804.541,1353005329804.541,2,1414.735309187021,3,300,90,1,3000
6,Bang,Shanghai,Wuxi,1353055729804.541,1353091729804.541,3,116.1316602594519,2,300,90,1,3000
7,Bang,Chongqing,Guiyang,1353142129804.541,1353178129804.541,2,323.9075153217893,4,300,90,1,3000
8,Bang,Chongqing,Hangzhou,1353228529804.541,1353264529804.541,3,1275.1928054342827,2,300,90,1,3000
9,Bang,Kunming,Hefei,1353314929804.541,1353350929804.541,3,1574.6951541702786,4,300,90,1,3000
10,Bang,Tianjin,Chengdu,1353401329804.541,1353437329804.541,2,1507.4057033369515,4,300,90,1,3000
11,Bang,Tianjin,Chongqing,1353487729804.541,1353523729804.541,2,1412.7818855495782,4,300,90,1,3000
12,Bang,Beijing,Wuxi,1353574129804.541,1353610129804.541,2,980.7434677778411,4,300,90,1,3000
13,Bang,Hangzhou,Wuxi,1353660529804.541,1353696529804.541,1,144.91306819366292,2,300,90,1,3000
14,Bang,Wuxi,Kunming,1353746929804.541,1353782929804.541,3,1843.5389083734965,4,300,90,1,3000
15,Bang,Kunming,Tianjin,1353833329804.541,1353869329804.541,3,2062.647376177471,3,300,90,1,3000
16,Bang,Hangzhou,Wuxi,1353919729804.541,1353955729804.541,3,144.91306819366292,4,300,90,1,3000
17,Bang,Shanghai,Hangzhou,1354006129804.541,1354042129804.541,1,116.09922555340886,3,300,90,1,3000
18,Bang,Guiyang,Chongqing,1354092529804.541,1354128529804.541,1,323.9075153217893,3,300,90,1,3000
19,Bang,Chongqing,Guiyang,1354178929804.541,1354214929804.541,2,323.9075153217893,3,300,90,1,3000
20,Bang,Tianjin,Shijiazhuang,1354265329804.541,1354301329804.541,3,249.51407691799224,4,300,90,1,3000
