,driver,startLocation,endLocation,startTime,endTime,meansOfTransport,distance,timespan,duration,delay,trafficViolation,cost
0,Christy,Hangzhou,Chengdu,1226393352911.888,1226429352911.888,1,1533.2816599742448,3,300,90,1,3000
1,Christy,Shijiazhuang,Chongqing,1226479752911.888,1226515752911.888,1,1177.1050935151047,3,300,90,1,3000
2,Christy,Wuxi,Shanghai,1226566152911.888,1226602152911.888,1,116.1316602594519,6,300,90,1,3000
3,Christy,Taiyuan,Hangzhou,1226652552911.888,1226688552911.888,2,1096.6649102375786,1,300,90,1,3000
4,Christy,Hangzhou,Shanghai,1226738952911.888,1226774952911.888,3,116.09922555340886,3,300,90,1,3000
5,Christy,Kunming,Wuxi,1226825352911.888,1226861352911.888,2,1843.5389083734965,2,300,90,1,3000
6,Christy,Shijiazhuang,Beijing,1226911752911.888,1226947752911.888,2,238.6230874528649,6,300,90,1,3000
7,Christy,Hefei,Kunming,1226998152911.888,1227034152911.888,1,1574.6951541702786,4,300,90,1,3000
8,Christy,Shijiazhuang,Guiyang,1227084552911.888,1227120552911.888,3,1468.0883974833023,1,300,90,1,3000
9,Christy,Taiyuan,Guiyang,1227170952911.888,1227206952911.888,2,1373.1560330749437,5,300,90,1,3000
10,Christy,Chongqing,Guiyang,1227257352911.888,1227293352911.888,1,323.9075153217893,6,300,90,1,3000
11,Christy,Hangzhou,Beijing,1227343752911.888,1227379752911.888,3,1120.335058805576,4,300,90,1,3000
12,Christy,Wuxi,Shanghai,1227430152911.888,1227466152911.888,1,116.1316602594519,1,300,90,1,3000
13,Christy,Hefei,Tianjin,1227516552911.888,1227552552911.888,2,845.3467325449502,5,300,90,1,3000
14,Christy,Shijiazhuang,Wuxi,1227602952911.888,1227638952911.888,3,870.8668351827667,6,300,90,1,3000
15,Christy,Shanghai,Tianjin,1227689352911.888,1227725352911.888,2,971.5104376019021,6,300,90,1,3000
16,Christy,Taiyuan,Shijiazhuang,1227775752911.888,1227811752911.888,3,175.76892590155305,3,300,90,1,3000
17,Christy,Hangzhou,Chengdu,1227862152911.888,1227898152911.888,3,1533.2816599742448,2,300,90,1,3000
18,Christy,Hangzhou,Kunming,1227948552911.888,1227984552911.888,1,1810.4930618909086,6,300,90,1,3000
19,Christy,Wuxi,Shanghai,1228034952911.888,1228070952911.888,2,116.1316602594519,1,300,90,1,3000
20,Christy,Hefei,Chengdu,1228121352911.888,1228157352911.888,1,1232.6260207838702,6,300,90,1,3000
21,Christy,Shanghai,Chengdu,1228207752911.888,1228243752911.888,2,1613.7217797860155,2,300,90,1,3000
22,Christy,Chongqing,Shanghai,1228294152911.888,1228330152911.888,3,1364.0807481289414,3,300,90,1,3000
23,Christy,Chengdu,Chongqing,1228380552911.888,1228416552911.888,3,296.0347511595893,1,300,90,1,3000
24,Christy,Hefei,Shanghai,1228466952911.888,1228502952911.888,3,384.38806450717783,5,300,90,1,3000
25,Christy,Taiyuan,Tianjin,1228553352911.888,1228589352911.888,2,413.7816180343131,5,300,90,1,3000
26,Christy,Shanghai,Kunming,1228639752911.888,1228675752911.888,1,1914.136906493497,1,300,90,1,3000
27,Christy,Kunming,Guiyang,1228726152911.888,1228762152911.888,3,429.159289327091,3,300,90,1,3000
28,Christy,Kunming,Chengdu,1228812552911.888,1228848552911.888,3,637.9145943128929,6,300,90,1,3000
29,Christy,Kunming,Shijiazhuang,1228898952911.888,1228934952911.888,1,1824.9907949936446,2,300,90,1,3000
30,Christy,Taiyuan,Shijiazhuang,1228985352911.888,1229021352911.888,2,175.76892590155305,1,300,90,1,3000
31,Christy,Chengdu,Chongqing,1229071752911.888,1229107752911.888,1,296.0347511595893,6,300,90,1,3000
32,Christy,Beijing,Wuxi,1229158152911.888,1229194152911.888,1,980.7434677778411,4,300,90,1,3000
33,Christy,Beijing,Shijiazhuang,1229244552911.888,1229280552911.888,1,238.6230874528649,3,300,90,1,3000
34,Christy,Kunming,Chongqing,1229330952911.888,1229366952911.888,1,650.2676800234859,6,300,90,1,3000
35,Christy,Beijing,Guiyang,1229417352911.888,1229453352911.888,3,1706.7113407003492,4,300,90,1,3000
36,Christy,Kunming,Taiyuan,1229503752911.888,1229539752911.888,3,1707.4061138053914,5,300,90,1,3000
37,Christy,Chengdu,Hangzhou,1229590152911.888,1229626152911.888,2,1533.2816599742448,6,300,90,1,3000
38,Christy,Chongqing,Wuxi,1229676552911.888,1229712552911.888,1,1275.5600633918282,2,300,90,1,3000
39,Christy,Kunming,Shanghai,1229762952911.888,1229798952911.888,2,1914.136906493497,6,300,90,1,3000
40,Christy,Shanghai,Wuxi,1229849352911.888,1229885352911.888,2,116.1316602594519,4,300,90,1,3000
41,Christy,Guiyang,Chengdu,1229935752911.888,1229971752911.888,2,507.45629624974424,4,300,90,1,3000
42,Christy,Chongqing,Beijing,1230022152911.888,1230058152911.888,1,1414.5204529506702,3,300,90,1,3000
43,Christy,Guiyang,Tianjin,1230108552911.888,1230144552911.888,1,1693.6158188487998,2,300,90,1,3000
44,Christy,Shanghai,Chengdu,1230194952911.888,1230230952911.888,2,1613.7217797860155,2,300,90,1,3000
45,Christy,Beijing,Hangzhou,1230281352911.888,1230317352911.888,1,1120.335058805576,5,300,90,1,3000
46,Christy,Hefei,Wuxi,1230367752911.888,1230403752911.888,2,284.5733009734096,4,300,90,1,3000
47,Christy,Taiyuan,Chengdu,1230454152911.888,1230490152911.888,2,1119.5970935736282,1,300,90,1,3000
48,Christy,Hefei,Hangzhou,1230540552911.888,1230576552911.888,3,324.5665668056832,6,300,90,1,3000
49,Christy,Shijiazhuang,Chongqing,1230626952911.888,1230662952911.888,3,1177.1050935151047,6,300,90,1,3000
50,Christy,Chongqing,Shanghai,1230713352911.888,1230749352911.888,3,1364.0807481289414,5,300,90,1,3000
51,Christy,Tianjin,Wuxi,1230799752911.888,1230835752911.888,1,877.3445194914825,3,300,90,1,3000
52,Christy,Shanghai,Beijing,1230886152911.888,1230922152911.888,2,1078.212744265549,1,300,90,1,3000
53,Christy,Hefei,Taiyuan,1230972552911.888,1231008552911.888,3,821.9755751395555,5,300,90,1,3000
54,Christy,Hefei,Shanghai,1231058952911.888,1231094952911.888,3,384.38806450717783,1,300,90,1,3000
55,Christy,Tianjin,Shijiazhuang,1231145352911.888,1231181352911.888,3,249.51407691799224,5,300,90,1,3000
56,Christy,Shijiazhuang,Chongqing,1231231752911.888,1231267752911.888,3,1177.1050935151047,5,300,90,1,3000
57,Christy,Taiyuan,Guiyang,1231318152911.888,1231354152911.888,3,1373.1560330749437,6,300,90,1,3000
58,Christy,Wuxi,Chongqing,1231404552911.888,1231440552911.888,1,1275.5600633918282,3,300,90,1,3000
59,Christy,Kunming,Taiyuan,1231490952911.888,1231526952911.888,1,1707.4061138053914,5,300,90,1,3000
60,Christy,Shijiazhuang,Chengdu,1231577352911.888,1231613352911.888,3,1259.7086576589788,3,300,90,1,3000
61,Christy,Guiyang,Taiyuan,1231663752911.888,1231699752911.888,1,1373.1560330749437,6,300,90,1,3000
62,Christy,Shijiazhuang,Hangzhou,1231750152911.888,1231786152911.888,1,999.1213608962677,5,300,90,1,3000
63,Christy,Hefei,Chengdu,1231836552911.888,1231872552911.888,1,1232.6260207838702,2,300,90,1,3000
64,Christy,Beijing,Taiyuan,1231922952911.888,1231958952911.888,3,369.5257904633235,6,300,90,1,3000
65,Christy,Chengdu,Hefei,1232009352911.888,1232045352911.888,2,1232.6260207838702,2,300,90,1,3000
66,Christy,Wuxi,Kunming,1232095752911.888,1232131752911.888,2,1843.5389083734965,2,300,90,1,3000
67,Christy,Shijiazhuang,Chengdu,1232182152911.888,1232218152911.888,3,1259.7086576589788,5,300,90,1,3000
68,Christy,Tianjin,Beijing,1232268552911.888,1232304552911.888,3,115.92648299931139,5,300,90,1,3000
69,Christy,Kunming,Guiyang,1232354952911.888,1232390952911.888,2,429.159289327091,1,300,90,1,3000
70,Christy,Guiyang,Shijiazhuang,1232441352911.888,1232477352911.888,2,1468.0883974833023,3,300,90,1,3000
71,Christy,Shijiazhuang,Guiyang,1232527752911.888,1232563752911.888,3,1468.0883974833023,1,300,90,1,3000
72,Christy,Guiyang,Beijing,1232614152911.888,1232650152911.888,1,1706.7113407003492,6,300,90,1,3000
73,Christy,Wuxi,Hefei,1232700552911.888,1232736552911.888,1,284.5733009734096,1,300,90,1,3000
74,Christy,Hangzhou,Shijiazhuang,1232786952911.888,1232822952911.888,3,999.1213608962677,5,300,90,1,3000
75,Christy,Hefei,Tianjin,1232873352911.888,1232909352911.888,1,845.3467325449502,4,300,90,1,3000
76,Christy,Taiyuan,Beijing,1232959752911.888,1232995752911.888,2,369.5257904633235,1,300,90,1,3000
77,Christy,Shanghai,Shijiazhuang,1233046152911.888,1233082152911.888,2,979.82868046353,2,300,90,1,3000
78,Christy,Beijing,Hefei,1233132552911.888,1233168552911.888,3,927.6018622684903,3,300,90,1,3000
79,Christy,Tianjin,Wuxi,1233218952911.888,1233254952911.888,3,877.3445194914825,4,300,90,1,3000
80,Christy,Wuxi,Chengdu,1233305352911.888,1233341352911.888,2,1517.0941513788973,2,300,90,1,3000
81,Christy,Hangzhou,Shanghai,1233391752911.888,1233427752911.888,1,116.09922555340886,6,300,90,1,3000
82,Christy,Hangzhou,Beijing,1233478152911.888,1233514152911.888,3,1120.335058805576,6,300,90,1,3000
83,Christy,Guiyang,Shanghai,1233564552911.888,1233600552911.888,2,1485.0316706772294,3,300,90,1,3000
84,Christy,Wuxi,Shanghai,1233650952911.888,1233686952911.888,3,116.1316602594519,3,300,90,1,3000
85,Christy,Kunming,Tianjin,1233737352911.888,1233773352911.888,1,2062.647376177471,4,300,90,1,3000
86,Christy,Hefei,Kunming,1233823752911.888,1233859752911.888,2,1574.6951541702786,4,300,90,1,3000
87,Christy,Hangzhou,Kunming,1233910152911.888,1233946152911.888,3,1810.4930618909086,6,300,90,1,3000
88,Christy,Taiyuan,Kunming,1233996552911.888,1234032552911.888,2,1707.4061138053914,6,300,90,1,3000
89,Christy,Beijing,Guiyang,1234082952911.888,1234118952911.888,3,1706.7113407003492,1,300,90,1,3000
90,Christy,Tianjin,Hefei,1234169352911.888,1234205352911.888,2,845.3467325449502,3,300,90,1,3000
91,Christy,Taiyuan,Chongqing,1234255752911.888,1234291752911.888,3,1067.861755878668,6,300,90,1,3000
92,Christy,Taiyuan,Beijing,1234342152911.888,1234378152911.888,2,369.5257904633235,2,300,90,1,3000
93,Christy,Beijing,Kunming,1234428552911.888,1234464552911.888,2,2061.280975299922,3,300,90,1,3000
94,Christy,Wuxi,Kunming,1234514952911.888,1234550952911.888,2,1843.5389083734965,5,300,90,1,3000
95,Christy,Chongqing,Shanghai,1234601352911.888,1234637352911.888,1,1364.0807481289414,3,300,90,1,3000
96,Christy,Wuxi,Chongqing,1234687752911.888,1234723752911.888,2,1275.5600633918282,5,300,90,1,3000
97,Christy,Chengdu,Wuxi,1234774152911.888,1234810152911.888,2,1517.0941513788973,6,300,90,1,3000
98,Christy,Taiyuan,Shijiazhuang,1234860552911.888,1234896552911.888,1,175.76892590155305,3,300,90,1,3000
99,Christy,Wuxi,Beijing,1234946952911.888,1234982952911.888,3,980.7434677778411,2,300,90,1,3000
100,Christy,Hefei,Chengdu,1235033352911.888,1235069352911.888,2,1232.6260207838702,3,300,90,1,3000
101,Christy,Wuxi,Chongqing,1235119752911.888,1235155752911.888,1,1275.5600633918282,3,300,90,1,3000
102,Christy,Hangzhou,Hefei,1235206152911.888,1235242152911.888,2,324.5665668056832,3,300,90,1,3000
103,Christy,Taiyuan,Shijiazhuang,1235292552911.888,1235328552911.888,3,175.76892590155305,4,300,90,1,3000
104,Christy,Beijing,Guiyang,1235378952911.888,1235414952911.888,3,1706.7113407003492,3,300,90,1,3000
105,Christy,Shanghai,Chengdu,1235465352911.888,1235501352911.888,1,1613.7217797860155,4,300,90,1,3000
106,Christy,Shijiazhuang,Taiyuan,1235551752911.888,1235587752911.888,3,175.76892590155305,3,300,90,1,3000
107,Christy,Kunming,Chengdu,1235638152911.888,1235674152911.888,1,637.9145943128929,1,300,90,1,3000
108,Christy,Chongqing,Chengdu,1235724552911.888,1235760552911.888,3,296.0347511595893,1,300,90,1,3000
109,Christy,Shijiazhuang,Shanghai,1235810952911.888,1235846952911.888,1,979.82868046353,3,300,90,1,3000
110,Christy,Kunming,Hefei,1235897352911.888,1235933352911.888,3,1574.6951541702786,2,300,90,1,3000
111,Christy,Wuxi,Kunming,1235983752911.888,1236019752911.888,1,1843.5389083734965,5,300,90,1,3000
112,Christy,Wuxi,Shijiazhuang,1236070152911.888,1236106152911.888,2,870.8668351827667,1,300,90,1,3000
113,Christy,Chengdu,Shanghai,1236156552911.888,1236192552911.888,2,1613.7217797860155,1,300,90,1,3000
114,Christy,Chongqing,Guiyang,1236242952911.888,1236278952911.888,2,323.9075153217893,6,300,90,1,3000
115,Christy,Hefei,Wuxi,1236329352911.888,1236365352911.888,2,284.5733009734096,2,300,90,1,3000
116,Christy,Shijiazhuang,Shanghai,1236415752911.888,1236451752911.888,2,979.82868046353,2,300,90,1,3000
117,Christy,Tianjin,Kunming,1236502152911.888,1236538152911.888,1,2062.647376177471,5,300,90,1,3000
118,Christy,Taiyuan,Hangzhou,1236588552911.888,1236624552911.888,3,1096.6649102375786,1,300,90,1,3000
119,Christy,Wuxi,Taiyuan,1236674952911.888,1236710952911.888,3,979.5387481264983,4,300,90,1,3000
120,Christy,Beijing,Wuxi,1236761352911.888,1236797352911.888,2,980.7434677778411,6,300,90,1,3000
121,Christy,Kunming,Tianjin,1236847752911.888,1236883752911.888,3,2062.647376177471,1,300,90,1,3000
122,Christy,Taiyuan,Wuxi,1236934152911.888,1236970152911.888,3,979.5387481264983,2,300,90,1,3000
123,Christy,Tianjin,Shijiazhuang,1237020552911.888,1237056552911.888,3,249.51407691799224,3,300,90,1,3000
124,Christy,Shijiazhuang,Taiyuan,1237106952911.888,1237142952911.888,1,175.76892590155305,3,300,90,1,3000
125,Christy,Kunming,Taiyuan,1237193352911.888,1237229352911.888,3,1707.4061138053914,2,300,90,1,3000
126,Christy,Hefei,Shanghai,1237279752911.888,1237315752911.888,1,384.38806450717783,1,300,90,1,3000
127,Christy,Hefei,Chengdu,1237366152911.888,1237402152911.888,2,1232.6260207838702,4,300,90,1,3000
128,Christy,Tianjin,Shanghai,1237452552911.888,1237488552911.888,1,971.5104376019021,3,300,90,1,3000
129,Christy,Wuxi,Taiyuan,1237538952911.888,1237574952911.888,1,979.5387481264983,3,300,90,1,3000
130,Christy,Kunming,Tianjin,1237625352911.888,1237661352911.888,3,2062.647376177471,4,300,90,1,3000
131,Christy,Kunming,Guiyang,1237711752911.888,1237747752911.888,1,429.159289327091,1,300,90,1,3000
132,Christy,Hangzhou,Guiyang,1237798152911.888,1237834152911.888,3,1381.8391870956857,6,300,90,1,3000
133,Christy,Taiyuan,Guiyang,1237884552911.888,1237920552911.888,2,1373.1560330749437,1,300,90,1,3000
134,Christy,Taiyuan,Shanghai,1237970952911.888,1238006952911.888,3,1093.0427267173748,5,300,90,1,3000
135,Christy,Kunming,Guiyang,1238057352911.888,1238093352911.888,2,429.159289327091,3,300,90,1,3000
136,Christy,Kunming,Tianjin,1238143752911.888,1238179752911.888,2,2062.647376177471,2,300,90,1,3000
137,Christy,Guiyang,Hangzhou,1238230152911.888,1238266152911.888,3,1381.8391870956857,3,300,90,1,3000
138,Christy,Kunming,Beijing,1238316552911.888,1238352552911.888,1,2061.280975299922,2,300,90,1,3000
139,Christy,Hefei,Tianjin,1238402952911.888,1238438952911.888,3,845.3467325449502,4,300,90,1,3000
140,Christy,Chongqing,Tianjin,1238489352911.888,1238525352911.888,1,1412.7818855495782,5,300,90,1,3000
141,Christy,Wuxi,Shijiazhuang,1238575752911.888,1238611752911.888,2,870.8668351827667,5,300,90,1,3000
142,Christy,Chengdu,Chongqing,1238662152911.888,1238698152911.888,2,296.0347511595893,2,300,90,1,3000
143,Christy,Beijing,Taiyuan,1238748552911.888,1238784552911.888,2,369.5257904633235,6,300,90,1,3000
144,Christy,Kunming,Guiyang,1238834952911.888,1238870952911.888,2,429.159289327091,4,300,90,1,3000
145,Christy,Tianjin,Shijiazhuang,1238921352911.888,1238957352911.888,1,249.51407691799224,6,300,90,1,3000
146,Christy,Hangzhou,Tianjin,1239007752911.888,1239043752911.888,2,1018.854995895633,4,300,90,1,3000
147,Christy,Tianjin,Hangzhou,1239094152911.888,1239130152911.888,2,1018.854995895633,6,300,90,1,3000
148,Christy,Wuxi,Chengdu,1239180552911.888,1239216552911.888,2,1517.0941513788973,3,300,90,1,3000
149,Christy,Guiyang,Hangzhou,1239266952911.888,1239302952911.888,2,1381.8391870956857,3,300,90,1,3000
150,Christy,Taiyuan,Shanghai,1239353352911.888,1239389352911.888,1,1093.0427267173748,5,300,90,1,3000
151,Christy,Chengdu,Hangzhou,1239439752911.888,1239475752911.888,3,1533.2816599742448,1,300,90,1,3000
152,Christy,Taiyuan,Kunming,1239526152911.888,1239562152911.888,3,1707.4061138053914,2,300,90,1,3000
153,Christy,Chengdu,Kunming,1239612552911.888,1239648552911.888,1,637.9145943128929,1,300,90,1,3000
154,Christy,Chengdu,Shijiazhuang,1239698952911.888,1239734952911.888,1,1259.7086576589788,1,300,90,1,3000
155,Christy,Hefei,Tianjin,1239785352911.888,1239821352911.888,2,845.3467325449502,3,300,90,1,3000
156,Christy,Chongqing,Shanghai,1239871752911.888,1239907752911.888,2,1364.0807481289414,4,300,90,1,3000
157,Christy,Hangzhou,Guiyang,1239958152911.888,1239994152911.888,2,1381.8391870956857,2,300,90,1,3000
158,Christy,Shijiazhuang,Tianjin,1240044552911.888,1240080552911.888,2,249.51407691799224,6,300,90,1,3000
159,Christy,Shijiazhuang,Wuxi,1240130952911.888,1240166952911.888,3,870.8668351827667,4,300,90,1,3000
160,Christy,Guiyang,Chengdu,1240217352911.888,1240253352911.888,2,507.45629624974424,3,300,90,1,3000
161,Christy,Hangzhou,Chengdu,1240303752911.888,1240339752911.888,3,1533.2816599742448,6,300,90,1,3000
162,Christy,Hefei,Hangzhou,1240390152911.888,1240426152911.888,1,324.5665668056832,6,300,90,1,3000
163,Christy,Hangzhou,Tianjin,1240476552911.888,1240512552911.888,1,1018.854995895633,1,300,90,0,3000
164,Christy,Shanghai,Beijing,1240562952911.888,1240598952911.888,3,1078.212744265549,1,300,90,0,3000
165,Christy,Hangzhou,Kunming,1240649352911.888,1240685352911.888,1,1810.4930618909086,6,300,90,0,3000
