,driver,startLocation,endLocation,startTime,endTime,meansOfTransport,distance,timespan,duration,delay,trafficViolation,cost
0,Kenneth,Shanghai,Wuxi,1352537348930.0798,1352573348930.0798,2,116.1316602594519,5,300,90,1,3000
1,Kenneth,Wuxi,Hangzhou,1352623748930.0798,1352659748930.0798,3,144.91306819366292,5,300,90,1,3000
2,Kenneth,Wuxi,Hefei,1352710148930.0798,1352746148930.0798,3,284.5733009734096,3,300,90,1,3000
3,Kenneth,Wuxi,Shanghai,1352796548930.0798,1352832548930.0798,1,116.1316602594519,4,300,90,1,3000
4,Kenneth,Wuxi,Hangzhou,1352882948930.0798,1352918948930.0798,3,144.91306819366292,2,300,90,1,3000
5,Kenneth,Shanghai,Wuxi,1352969348930.0798,1353005348930.0798,3,116.1316602594519,4,300,90,1,3000
6,Kenneth,Wuxi,Shanghai,1353055748930.0798,1353091748930.0798,3,116.1316602594519,3,300,90,1,3000
7,Kenneth,Wuxi,Shanghai,1353142148930.0798,1353178148930.0798,3,116.1316602594519,4,300,90,1,3000
8,Kenneth,Wuxi,Hangzhou,1353228548930.0798,1353264548930.0798,1,144.91306819366292,4,300,90,1,3000
9,Kenneth,Hefei,Hangzhou,1353314948930.0798,1353350948930.0798,2,324.5665668056832,4,300,90,1,3000
10,Kenneth,Hefei,Hangzhou,1353401348930.0798,1353437348930.0798,2,324.5665668056832,5,300,90,1,3000
11,Kenneth,Hefei,Hangzhou,1353487748930.0798,1353523748930.0798,2,324.5665668056832,1,300,90,1,3000
12,Kenneth,Hefei,Shanghai,1353574148930.0798,1353610148930.0798,3,384.38806450717783,2,300,90,1,3000
13,Kenneth,Hangzhou,Wuxi,1353660548930.0798,1353696548930.0798,2,144.91306819366292,4,300,90,1,3000
14,Kenneth,Hefei,Hangzhou,1353746948930.0798,1353782948930.0798,3,324.5665668056832,3,300,90,1,3000
15,Kenneth,Hangzhou,Shanghai,1353833348930.0798,1353869348930.0798,2,116.09922555340886,5,300,90,1,3000
16,Kenneth,Wuxi,Shanghai,1353919748930.0798,1353955748930.0798,3,116.1316602594519,4,300,90,1,3000
17,Kenneth,Shanghai,Hefei,1354006148930.0798,1354042148930.0798,3,384.38806450717783,2,300,90,1,3000
18,Kenneth,Hangzhou,Wuxi,1354092548930.0798,1354128548930.0798,2,144.91306819366292,3,300,90,1,3000
19,Kenneth,Wuxi,Hangzhou,1354178948930.0798,1354214948930.0798,3,144.91306819366292,3,300,90,1,3000
20,Kenneth,Hefei,Hangzhou,1354265348930.0798,1354301348930.0798,1,324.5665668056832,5,300,90,1,3000
21,Kenneth,Shanghai,Wuxi,1354351748930.0798,1354387748930.0798,3,116.1316602594519,3,300,90,1,3000
22,Kenneth,Hefei,Hangzhou,1354438148930.0798,1354474148930.0798,1,324.5665668056832,1,300,90,1,3000
23,Kenneth,Shanghai,Wuxi,1354524548930.0798,1354560548930.0798,3,116.1316602594519,5,300,90,1,3000
24,Kenneth,Hefei,Hangzhou,1354610948930.0798,1354646948930.0798,3,324.5665668056832,1,300,90,1,3000
25,Kenneth,Hefei,Hangzhou,1354697348930.0798,1354733348930.0798,2,324.5665668056832,4,300,90,1,3000
26,Kenneth,Wuxi,Hefei,1354783748930.0798,1354819748930.0798,2,284.5733009734096,4,300,90,1,3000
27,Kenneth,Wuxi,Hefei,1354870148930.0798,1354906148930.0798,1,284.5733009734096,1,300,90,1,3000
28,Kenneth,Hefei,Hangzhou,1354956548930.0798,1354992548930.0798,3,324.5665668056832,4,300,90,1,3000
29,Kenneth,Shanghai,Wuxi,1355042948930.0798,1355078948930.0798,2,116.1316602594519,4,300,90,1,3000
