,driver,startLocation,endLocation,startTime,endTime,meansOfTransport,distance,timespan,duration,delay,trafficViolation,cost
0,Kristin,Kunming,Guiyang,1289465334510.8599,1289501334510.8599,1,429.159289327091,2,300,90,1,3000
1,Kristin,Chongqing,Guiyang,1289551734510.8599,1289587734510.8599,2,323.9075153217893,4,300,90,1,3000
2,Kristin,Chengdu,Kunming,1289638134510.8599,1289674134510.8599,3,637.9145943128929,4,300,90,1,3000
3,Kristin,Guiyang,Kunming,1289724534510.8599,1289760534510.8599,2,429.159289327091,2,300,90,1,3000
4,Kristin,Kunming,Guiyang,1289810934510.8599,1289846934510.8599,3,429.159289327091,4,300,90,1,3000
5,Kristin,Chengdu,Guiyang,1289897334510.8599,1289933334510.8599,1,507.45629624974424,4,300,90,1,3000
6,Kristin,Kunming,Chongqing,1289983734510.8599,1290019734510.8599,2,650.2676800234859,3,300,90,1,3000
7,Kristin,Chengdu,Kunming,1290070134510.8599,1290106134510.8599,2,637.9145943128929,2,300,90,1,3000
8,Kristin,Chongqing,Guiyang,1290156534510.8599,1290192534510.8599,3,323.9075153217893,5,300,90,1,3000
9,Kristin,Chengdu,Chongqing,1290242934510.8599,1290278934510.8599,3,296.0347511595893,5,300,90,1,3000
10,Kristin,Kunming,Chongqing,1290329334510.8599,1290365334510.8599,1,650.2676800234859,4,300,90,1,3000
11,Kristin,Kunming,Guiyang,1290415734510.8599,1290451734510.8599,2,429.159289327091,4,300,90,1,3000
12,Kristin,Guiyang,Kunming,1290502134510.8599,1290538134510.8599,2,429.159289327091,5,300,90,1,3000
13,Kristin,Guiyang,Chengdu,1290588534510.8599,1290624534510.8599,2,507.45629624974424,5,300,90,1,3000
14,Kristin,Chengdu,Guiyang,1290674934510.8599,1290710934510.8599,1,507.45629624974424,3,300,90,1,3000
15,Kristin,Kunming,Chongqing,1290761334510.8599,1290797334510.8599,1,650.2676800234859,4,300,90,1,3000
16,Kristin,Kunming,Chongqing,1290847734510.8599,1290883734510.8599,2,650.2676800234859,4,300,90,1,3000
17,Kristin,Chongqing,Guiyang,1290934134510.8599,1290970134510.8599,3,323.9075153217893,5,300,90,1,3000
18,Kristin,Guiyang,Chengdu,1291020534510.8599,1291056534510.8599,2,507.45629624974424,4,300,90,1,3000
19,Kristin,Chongqing,Chengdu,1291106934510.8599,1291142934510.8599,1,296.0347511595893,3,300,90,1,3000
20,Kristin,Kunming,Chengdu,1291193334510.8599,1291229334510.8599,2,637.9145943128929,3,300,90,1,3000
21,Kristin,Chengdu,Guiyang,1291279734510.8599,1291315734510.8599,1,507.45629624974424,5,300,90,1,3000
22,Kristin,Guiyang,Chengdu,1291366134510.8599,1291402134510.8599,3,507.45629624974424,2,300,90,1,3000
23,Kristin,Kunming,Guiyang,1291452534510.8599,1291488534510.8599,2,429.159289327091,3,300,90,1,3000
24,Kristin,Kunming,Chengdu,1291538934510.8599,1291574934510.8599,3,637.9145943128929,2,300,90,1,3000
25,Kristin,Guiyang,Chengdu,1291625334510.8599,1291661334510.8599,2,507.45629624974424,2,300,90,1,3000
26,Kristin,Chongqing,Guiyang,1291711734510.8599,1291747734510.8599,3,323.9075153217893,5,300,90,1,3000
27,Kristin,Chongqing,Chengdu,1291798134510.8599,1291834134510.8599,1,296.0347511595893,2,300,90,1,3000
28,Kristin,Kunming,Guiyang,1291884534510.8599,1291920534510.8599,3,429.159289327091,5,300,90,1,3000
29,Kristin,Chongqing,Guiyang,1291970934510.8599,1292006934510.8599,1,323.9075153217893,3,300,90,1,3000
30,Kristin,Chengdu,Guiyang,1292057334510.8599,1292093334510.8599,2,507.45629624974424,3,300,90,1,3000
31,Kristin,Guiyang,Chengdu,1292143734510.8599,1292179734510.8599,3,507.45629624974424,5,300,90,1,3000
32,Kristin,Guiyang,Kunming,1292230134510.8599,1292266134510.8599,2,429.159289327091,3,300,90,1,3000
33,Kristin,Guiyang,Chengdu,1292316534510.8599,1292352534510.8599,2,507.45629624974424,4,300,90,1,3000
34,Kristin,Guiyang,Chongqing,1292402934510.8599,1292438934510.8599,3,323.9075153217893,4,300,90,1,3000
35,Kristin,Chongqing,Chengdu,1292489334510.8599,1292525334510.8599,2,296.0347511595893,5,300,90,1,3000
36,Kristin,Chongqing,Chengdu,1292575734510.8599,1292611734510.8599,2,296.0347511595893,2,300,90,1,3000
37,Kristin,Guiyang,Chengdu,1292662134510.8599,1292698134510.8599,2,507.45629624974424,3,300,90,1,3000
38,Kristin,Guiyang,Kunming,1292748534510.8599,1292784534510.8599,1,429.159289327091,5,300,90,1,3000
39,Kristin,Chongqing,Chengdu,1292834934510.8599,1292870934510.8599,2,296.0347511595893,3,300,90,1,3000
40,Kristin,Guiyang,Chongqing,1292921334510.8599,1292957334510.8599,2,323.9075153217893,2,300,90,1,3000
41,Kristin,Chongqing,Chengdu,1293007734510.8599,1293043734510.8599,2,296.0347511595893,4,300,90,1,3000
42,Kristin,Guiyang,Chengdu,1293094134510.8599,1293130134510.8599,3,507.45629624974424,2,300,90,1,3000
43,Kristin,Chengdu,Chongqing,1293180534510.8599,1293216534510.8599,3,296.0347511595893,4,300,90,1,3000
44,Kristin,Chongqing,Guiyang,1293266934510.8599,1293302934510.8599,1,323.9075153217893,4,300,90,1,3000
45,Kristin,Guiyang,Chongqing,1293353334510.8599,1293389334510.8599,1,323.9075153217893,3,300,90,1,3000
46,Kristin,Chongqing,Chengdu,1293439734510.8599,1293475734510.8599,1,296.0347511595893,2,300,90,1,3000
47,Kristin,Chengdu,Guiyang,1293526134510.8599,1293562134510.8599,3,507.45629624974424,3,300,90,1,3000
48,Kristin,Chengdu,Kunming,1293612534510.8599,1293648534510.8599,1,637.9145943128929,3,300,90,1,3000
49,Kristin,Chongqing,Chengdu,1293698934510.8599,1293734934510.8599,2,296.0347511595893,3,300,90,1,3000
50,Kristin,Chengdu,Kunming,1293785334510.8599,1293821334510.8599,2,637.9145943128929,3,300,90,1,3000
51,Kristin,Kunming,Guiyang,1293871734510.8599,1293907734510.8599,2,429.159289327091,5,300,90,1,3000
52,Kristin,Kunming,Guiyang,1293958134510.8599,1293994134510.8599,1,429.159289327091,4,300,90,1,3000
53,Kristin,Guiyang,Chongqing,1294044534510.8599,1294080534510.8599,1,323.9075153217893,5,300,90,1,3000
54,Kristin,Guiyang,Kunming,1294130934510.8599,1294166934510.8599,1,429.159289327091,3,300,90,1,3000
55,Kristin,Chongqing,Kunming,1294217334510.8599,1294253334510.8599,1,650.2676800234859,4,300,90,1,3000
56,Kristin,Chengdu,Guiyang,1294303734510.8599,1294339734510.8599,1,507.45629624974424,5,300,90,1,3000
57,Kristin,Kunming,Chengdu,1294390134510.8599,1294426134510.8599,1,637.9145943128929,5,300,90,1,3000
58,Kristin,Chengdu,Chongqing,1294476534510.8599,1294512534510.8599,2,296.0347511595893,3,300,90,1,3000
59,Kristin,Kunming,Chongqing,1294562934510.8599,1294598934510.8599,1,650.2676800234859,3,300,90,1,3000
60,Kristin,Chongqing,Kunming,1294649334510.8599,1294685334510.8599,2,650.2676800234859,3,300,90,1,3000
61,Kristin,Chengdu,Chongqing,1294735734510.8599,1294771734510.8599,2,296.0347511595893,3,300,90,1,3000
62,Kristin,Chongqing,Kunming,1294822134510.8599,1294858134510.8599,3,650.2676800234859,2,300,90,1,3000
63,Kristin,Kunming,Guiyang,1294908534510.8599,1294944534510.8599,2,429.159289327091,4,300,90,1,3000
64,Kristin,Chengdu,Kunming,1294994934510.8599,1295030934510.8599,3,637.9145943128929,5,300,90,1,3000
65,Kristin,Chengdu,Chongqing,1295081334510.8599,1295117334510.8599,3,296.0347511595893,4,300,90,1,3000
66,Kristin,Chongqing,Chengdu,1295167734510.8599,1295203734510.8599,3,296.0347511595893,3,300,90,1,3000
67,Kristin,Chongqing,Chengdu,1295254134510.8599,1295290134510.8599,3,296.0347511595893,2,300,90,1,3000
68,Kristin,Chongqing,Kunming,1295340534510.8599,1295376534510.8599,1,650.2676800234859,2,300,90,1,3000
69,Kristin,Chongqing,Guiyang,1295426934510.8599,1295462934510.8599,2,323.9075153217893,3,300,90,1,3000
70,Kristin,Kunming,Chongqing,1295513334510.8599,1295549334510.8599,2,650.2676800234859,3,300,90,1,3000
71,Kristin,Kunming,Chengdu,1295599734510.8599,1295635734510.8599,1,637.9145943128929,2,300,90,1,3000
72,Kristin,Kunming,Guiyang,1295686134510.8599,1295722134510.8599,1,429.159289327091,5,300,90,1,3000
73,Kristin,Kunming,Chengdu,1295772534510.8599,1295808534510.8599,1,637.9145943128929,3,300,90,1,3000
74,Kristin,Chongqing,Chengdu,1295858934510.8599,1295894934510.8599,3,296.0347511595893,3,300,90,1,3000
75,Kristin,Chengdu,Chongqing,1295945334510.8599,1295981334510.8599,1,296.0347511595893,5,300,90,0,3000
76,Kristin,Chongqing,Kunming,1296031734510.8599,1296067734510.8599,2,650.2676800234859,4,300,90,0,3000
77,Kristin,Guiyang,Kunming,1296118134510.8599,1296154134510.8599,2,429.159289327091,2,300,90,0,3000
78,Kristin,Guiyang,Kunming,1296204534510.8599,1296240534510.8599,1,429.159289327091,4,300,90,0,3000
79,Kristin,Guiyang,Chengdu,1296290934510.8599,1296326934510.8599,1,507.45629624974424,4,300,90,0,3000
80,Kristin,Kunming,Chongqing,1296377334510.8599,1296413334510.8599,2,650.2676800234859,5,300,90,0,3000
81,Kristin,Kunming,Chongqing,1296463734510.8599,1296499734510.8599,3,650.2676800234859,3,300,90,0,3000
82,Kristin,Guiyang,Chengdu,1296550134510.8599,1296586134510.8599,2,507.45629624974424,3,300,90,0,3000
83,Kristin,Chongqing,Guiyang,1296636534510.8599,1296672534510.8599,2,323.9075153217893,5,300,90,0,3000
84,Kristin,Chengdu,Guiyang,1296722934510.8599,1296758934510.8599,2,507.45629624974424,4,300,90,0,3000
85,Kristin,Guiyang,Chengdu,1296809334510.8599,1296845334510.8599,3,507.45629624974424,4,300,90,0,3000
86,Kristin,Kunming,Guiyang,1296895734510.8599,1296931734510.8599,1,429.159289327091,5,300,90,0,3000
87,Kristin,Guiyang,Chongqing,1296982134510.8599,1297018134510.8599,1,323.9075153217893,5,300,90,0,3000
88,Kristin,Chengdu,Kunming,1297068534510.8599,1297104534510.8599,1,637.9145943128929,4,300,90,0,3000
89,Kristin,Kunming,Chengdu,1297154934510.8599,1297190934510.8599,2,637.9145943128929,3,300,90,0,3000
90,Kristin,Kunming,Chongqing,1297241334510.8599,1297277334510.8599,3,650.2676800234859,3,300,90,0,3000
