,driver,startLocation,endLocation,startTime,endTime,meansOfTransport,distance,timespan,duration,delay,trafficViolation,cost
0,Ling,Wuxi,Hefei,1321001346451.334,1321037346451.334,1,284.5733009734096,4,300,90,1,3000
1,Ling,Wuxi,Hefei,1321087746451.334,1321123746451.334,1,284.5733009734096,5,300,90,1,3000
2,Ling,Shanghai,Wuxi,1321174146451.334,1321210146451.334,3,116.1316602594519,3,300,90,1,3000
3,Ling,Shanghai,Hangzhou,1321260546451.334,1321296546451.334,1,116.09922555340886,2,300,90,1,3000
4,Ling,Wuxi,Hefei,1321346946451.334,1321382946451.334,1,284.5733009734096,4,300,90,1,3000
5,Ling,Shanghai,Wuxi,1321433346451.334,1321469346451.334,3,116.1316602594519,2,300,90,1,3000
6,Ling,Hangzhou,Shanghai,1321519746451.334,1321555746451.334,3,116.09922555340886,2,300,90,1,3000
7,Ling,Shanghai,Wuxi,1321606146451.334,1321642146451.334,2,116.1316602594519,2,300,90,1,3000
8,Ling,Hangzhou,Wuxi,1321692546451.334,1321728546451.334,3,144.91306819366292,2,300,90,1,3000
9,Ling,Hangzhou,Hefei,1321778946451.334,1321814946451.334,2,324.5665668056832,5,300,90,1,3000
10,Ling,Wuxi,Hefei,1321865346451.334,1321901346451.334,3,284.5733009734096,5,300,90,1,3000
11,Ling,Shanghai,Hangzhou,1321951746451.334,1321987746451.334,3,116.09922555340886,5,300,90,1,3000
12,Ling,Hefei,Shanghai,1322038146451.334,1322074146451.334,2,384.38806450717783,3,300,90,1,3000
13,Ling,Hangzhou,Wuxi,1322124546451.334,1322160546451.334,3,144.91306819366292,3,300,90,1,3000
14,Ling,Shanghai,Hefei,1322210946451.334,1322246946451.334,2,384.38806450717783,5,300,90,1,3000
15,Ling,Hefei,Shanghai,1322297346451.334,1322333346451.334,2,384.38806450717783,3,300,90,1,3000
16,Ling,Shanghai,Hefei,1322383746451.334,1322419746451.334,1,384.38806450717783,5,300,90,1,3000
17,Ling,Wuxi,Hefei,1322470146451.334,1322506146451.334,1,284.5733009734096,2,300,90,1,3000
18,Ling,Shanghai,Wuxi,1322556546451.334,1322592546451.334,1,116.1316602594519,3,300,90,1,3000
19,Ling,Wuxi,Shanghai,1322642946451.334,1322678946451.334,2,116.1316602594519,4,300,90,1,3000
20,Ling,Shanghai,Hefei,1322729346451.334,1322765346451.334,2,384.38806450717783,3,300,90,1,3000
21,Ling,Shanghai,Hangzhou,1322815746451.334,1322851746451.334,2,116.09922555340886,2,300,90,1,3000
22,Ling,Hangzhou,Shanghai,1322902146451.334,1322938146451.334,3,116.09922555340886,2,300,90,1,3000
23,Ling,Hangzhou,Hefei,1322988546451.334,1323024546451.334,1,324.5665668056832,2,300,90,1,3000
24,Ling,Shanghai,Hefei,1323074946451.334,1323110946451.334,3,384.38806450717783,3,300,90,1,3000
25,Ling,Hangzhou,Hefei,1323161346451.334,1323197346451.334,1,324.5665668056832,4,300,90,1,3000
26,Ling,Hefei,Hangzhou,1323247746451.334,1323283746451.334,3,324.5665668056832,5,300,90,1,3000
27,Ling,Hefei,Wuxi,1323334146451.334,1323370146451.334,1,284.5733009734096,5,300,90,1,3000
28,Ling,Hangzhou,Wuxi,1323420546451.334,1323456546451.334,1,144.91306819366292,2,300,90,1,3000
29,Ling,Wuxi,Hefei,1323506946451.334,1323542946451.334,2,284.5733009734096,2,300,90,1,3000
30,Ling,Hangzhou,Hefei,1323593346451.334,1323629346451.334,1,324.5665668056832,2,300,90,1,3000
31,Ling,Shanghai,Hefei,1323679746451.334,1323715746451.334,3,384.38806450717783,5,300,90,1,3000
32,Ling,Hefei,Shanghai,1323766146451.334,1323802146451.334,2,384.38806450717783,5,300,90,1,3000
33,Ling,Wuxi,Hefei,1323852546451.334,1323888546451.334,1,284.5733009734096,3,300,90,1,3000
34,Ling,Shanghai,Hangzhou,1323938946451.334,1323974946451.334,1,116.09922555340886,5,300,90,1,3000
35,Ling,Hefei,Hangzhou,1324025346451.334,1324061346451.334,3,324.5665668056832,5,300,90,1,3000
36,Ling,Shanghai,Hangzhou,1324111746451.334,1324147746451.334,1,116.09922555340886,5,300,90,1,3000
37,Ling,Hangzhou,Wuxi,1324198146451.334,1324234146451.334,1,144.91306819366292,3,300,90,1,3000
38,Ling,Wuxi,Shanghai,1324284546451.334,1324320546451.334,2,116.1316602594519,5,300,90,1,3000
39,Ling,Hangzhou,Wuxi,1324370946451.334,1324406946451.334,2,144.91306819366292,2,300,90,1,3000
40,Ling,Wuxi,Shanghai,1324457346451.334,1324493346451.334,1,116.1316602594519,3,300,90,1,3000
41,Ling,Hangzhou,Hefei,1324543746451.334,1324579746451.334,2,324.5665668056832,4,300,90,1,3000
42,Ling,Shanghai,Wuxi,1324630146451.334,1324666146451.334,1,116.1316602594519,2,300,90,0,3000
43,Ling,Hangzhou,Wuxi,1324716546451.334,1324752546451.334,2,144.91306819366292,5,300,90,0,3000
44,Ling,Hangzhou,Shanghai,1324802946451.334,1324838946451.334,3,116.09922555340886,2,300,90,0,3000
45,Ling,Hangzhou,Hefei,1324889346451.334,1324925346451.334,1,324.5665668056832,4,300,90,0,3000
46,Ling,Shanghai,Hangzhou,1324975746451.334,1325011746451.334,2,116.09922555340886,2,300,90,0,3000
47,Ling,Wuxi,Hangzhou,1325062146451.334,1325098146451.334,3,144.91306819366292,3,300,90,0,3000
48,Ling,Hefei,Wuxi,1325148546451.334,1325184546451.334,2,284.5733009734096,5,300,90,0,3000
49,Ling,Shanghai,Wuxi,1325234946451.334,1325270946451.334,3,116.1316602594519,2,300,90,0,3000
50,Ling,Hefei,Shanghai,1325321346451.334,1325357346451.334,1,384.38806450717783,2,300,90,0,3000
51,Ling,Wuxi,Hangzhou,1325407746451.334,1325443746451.334,1,144.91306819366292,4,300,90,0,3000
52,Ling,Hefei,Wuxi,1325494146451.334,1325530146451.334,1,284.5733009734096,5,300,90,0,3000
53,Ling,Shanghai,Hefei,1325580546451.334,1325616546451.334,2,384.38806450717783,2,300,90,0,3000
54,Ling,Hefei,Hangzhou,1325666946451.334,1325702946451.334,2,324.5665668056832,5,300,90,0,3000
55,Ling,Hangzhou,Shanghai,1325753346451.334,1325789346451.334,3,116.09922555340886,4,300,90,0,3000
56,Ling,Wuxi,Shanghai,1325839746451.334,1325875746451.334,1,116.1316602594519,2,300,90,0,3000
57,Ling,Hefei,Wuxi,1325926146451.334,1325962146451.334,1,284.5733009734096,5,300,90,0,3000
58,Ling,Wuxi,Hangzhou,1326012546451.334,1326048546451.334,1,144.91306819366292,2,300,90,0,3000
59,Ling,Wuxi,Hefei,1326098946451.334,1326134946451.334,3,284.5733009734096,5,300,90,0,3000
60,Ling,Hefei,Wuxi,1326185346451.334,1326221346451.334,2,284.5733009734096,5,300,90,0,3000
61,Ling,Hefei,Shanghai,1326271746451.334,1326307746451.334,1,384.38806450717783,4,300,90,0,3000
62,Ling,Wuxi,Shanghai,1326358146451.334,1326394146451.334,2,116.1316602594519,4,300,90,0,3000
63,Ling,Wuxi,Hefei,1326444546451.334,1326480546451.334,2,284.5733009734096,3,300,90,0,3000
64,Ling,Wuxi,Hangzhou,1326530946451.334,1326566946451.334,2,144.91306819366292,5,300,90,0,3000
65,Ling,Hangzhou,Shanghai,1326617346451.334,1326653346451.334,3,116.09922555340886,5,300,90,0,3000
66,Ling,Hefei,Shanghai,1326703746451.334,1326739746451.334,2,384.38806450717783,5,300,90,0,3000
67,Ling,Shanghai,Hefei,1326790146451.334,1326826146451.334,3,384.38806450717783,3,300,90,0,3000
68,Ling,Wuxi,Hefei,1326876546451.334,1326912546451.334,2,284.5733009734096,3,300,90,0,3000
69,Ling,Hefei,Hangzhou,1326962946451.334,1326998946451.334,1,324.5665668056832,5,300,90,0,3000
70,Ling,Hangzhou,Hefei,1327049346451.334,1327085346451.334,1,324.5665668056832,3,300,90,0,3000
71,Ling,Wuxi,Hefei,1327135746451.334,1327171746451.334,2,284.5733009734096,3,300,90,0,3000
72,Ling,Shanghai,Hefei,1327222146451.334,1327258146451.334,2,384.38806450717783,5,300,90,0,3000
73,Ling,Hangzhou,Wuxi,1327308546451.334,1327344546451.334,2,144.91306819366292,5,300,90,0,3000
74,Ling,Hangzhou,Hefei,1327394946451.334,1327430946451.334,1,324.5665668056832,5,300,90,0,3000
75,Ling,Hefei,Shanghai,1327481346451.334,1327517346451.334,3,384.38806450717783,4,300,90,0,3000
76,Ling,Wuxi,Hangzhou,1327567746451.334,1327603746451.334,2,144.91306819366292,2,300,90,0,3000
77,Ling,Wuxi,Shanghai,1327654146451.334,1327690146451.334,2,116.1316602594519,3,300,90,0,3000
78,Ling,Shanghai,Hefei,1327740546451.334,1327776546451.334,3,384.38806450717783,4,300,90,0,3000
79,Ling,Wuxi,Shanghai,1327826946451.334,1327862946451.334,1,116.1316602594519,3,300,90,0,3000
80,Ling,Shanghai,Hefei,1327913346451.334,1327949346451.334,3,384.38806450717783,2,300,90,0,3000
81,Ling,Hangzhou,Hefei,1327999746451.334,1328035746451.334,3,324.5665668056832,2,300,90,0,3000
82,Ling,Shanghai,Wuxi,1328086146451.334,1328122146451.334,1,116.1316602594519,3,300,90,0,3000
83,Ling,Shanghai,Hangzhou,1328172546451.334,1328208546451.334,1,116.09922555340886,5,300,90,0,3000
84,Ling,Hangzhou,Shanghai,1328258946451.334,1328294946451.334,3,116.09922555340886,2,300,90,0,3000
85,Ling,Shanghai,Hangzhou,1328345346451.334,1328381346451.334,1,116.09922555340886,5,300,90,0,3000
86,Ling,Wuxi,Shanghai,1328431746451.334,1328467746451.334,3,116.1316602594519,3,300,90,0,3000
87,Ling,Shanghai,Hangzhou,1328518146451.334,1328554146451.334,2,116.09922555340886,3,300,90,0,3000
88,Ling,Hangzhou,Wuxi,1328604546451.334,1328640546451.334,3,144.91306819366292,3,300,90,0,3000
89,Ling,Hangzhou,Wuxi,1328690946451.334,1328726946451.334,3,144.91306819366292,4,300,90,0,3000
90,Ling,Hangzhou,Hefei,1328777346451.334,1328813346451.334,3,324.5665668056832,3,300,90,0,3000
91,Ling,Wuxi,Hangzhou,1328863746451.334,1328899746451.334,1,144.91306819366292,3,300,90,0,3000
92,Ling,Shanghai,Wuxi,1328950146451.334,1328986146451.334,1,116.1316602594519,3,300,90,0,3000
93,Ling,Hangzhou,Hefei,1329036546451.334,1329072546451.334,3,324.5665668056832,3,300,90,0,3000
94,Ling,Shanghai,Hefei,1329122946451.334,1329158946451.334,3,384.38806450717783,2,300,90,0,3000
95,Ling,Hangzhou,Hefei,1329209346451.334,1329245346451.334,1,324.5665668056832,4,300,90,0,3000
96,Ling,Hefei,Hangzhou,1329295746451.334,1329331746451.334,3,324.5665668056832,3,300,90,0,3000
97,Ling,Shanghai,Hangzhou,1329382146451.334,1329418146451.334,3,116.09922555340886,5,300,90,0,3000
98,Ling,Wuxi,Hangzhou,1329468546451.334,1329504546451.334,3,144.91306819366292,5,300,90,0,3000
99,Ling,Wuxi,Hefei,1329554946451.334,1329590946451.334,3,284.5733009734096,4,300,90,0,3000
100,Ling,Wuxi,Hefei,1329641346451.334,1329677346451.334,3,284.5733009734096,5,300,90,0,3000
101,Ling,Hangzhou,Hefei,1329727746451.334,1329763746451.334,3,324.5665668056832,3,300,90,0,3000
102,Ling,Hangzhou,Wuxi,1329814146451.334,1329850146451.334,1,144.91306819366292,2,300,90,0,3000
103,Ling,Hangzhou,Wuxi,1329900546451.334,1329936546451.334,3,144.91306819366292,4,300,90,0,3000
104,Ling,Hefei,Hangzhou,1329986946451.334,1330022946451.334,2,324.5665668056832,4,300,90,0,3000
105,Ling,Wuxi,Hangzhou,1330073346451.334,1330109346451.334,2,144.91306819366292,3,300,90,0,3000
106,Ling,Hangzhou,Wuxi,1330159746451.334,1330195746451.334,1,144.91306819366292,4,300,90,0,3000
107,Ling,Hefei,Hangzhou,1330246146451.334,1330282146451.334,2,324.5665668056832,5,300,90,0,3000
108,Ling,Hangzhou,Wuxi,1330332546451.334,1330368546451.334,2,144.91306819366292,4,300,90,0,3000
109,Ling,Hangzhou,Hefei,1330418946451.334,1330454946451.334,1,324.5665668056832,4,300,90,0,3000
110,Ling,Hangzhou,Hefei,1330505346451.334,1330541346451.334,1,324.5665668056832,2,300,90,0,3000
111,Ling,Wuxi,Shanghai,1330591746451.334,1330627746451.334,3,116.1316602594519,2,300,90,0,3000
112,Ling,Wuxi,Hefei,1330678146451.334,1330714146451.334,3,284.5733009734096,5,300,90,0,3000
113,Ling,Hefei,Shanghai,1330764546451.334,1330800546451.334,3,384.38806450717783,5,300,90,0,3000
114,Ling,Hangzhou,Wuxi,1330850946451.334,1330886946451.334,2,144.91306819366292,5,300,90,0,3000
115,Ling,Wuxi,Shanghai,1330937346451.334,1330973346451.334,1,116.1316602594519,3,300,90,0,3000
116,Ling,Hefei,Shanghai,1331023746451.334,1331059746451.334,1,384.38806450717783,3,300,90,0,3000
117,Ling,Hangzhou,Wuxi,1331110146451.334,1331146146451.334,3,144.91306819366292,5,300,90,0,3000
118,Ling,Wuxi,Shanghai,1331196546451.334,1331232546451.334,1,116.1316602594519,5,300,90,0,3000
119,Ling,Shanghai,Hangzhou,1331282946451.334,1331318946451.334,2,116.09922555340886,4,300,90,0,3000
120,Ling,Hefei,Shanghai,1331369346451.334,1331405346451.334,2,384.38806450717783,4,300,90,0,3000
121,Ling,Shanghai,Wuxi,1331455746451.334,1331491746451.334,3,116.1316602594519,2,300,90,0,3000
122,Ling,Wuxi,Shanghai,1331542146451.334,1331578146451.334,3,116.1316602594519,3,300,90,0,3000
123,Ling,Wuxi,Hefei,1331628546451.334,1331664546451.334,2,284.5733009734096,5,300,90,0,3000
124,Ling,Hefei,Hangzhou,1331714946451.334,1331750946451.334,3,324.5665668056832,4,300,90,0,3000
125,Ling,Hefei,Wuxi,1331801346451.334,1331837346451.334,2,284.5733009734096,4,300,90,0,3000
126,Ling,Hefei,Wuxi,1331887746451.334,1331923746451.334,2,284.5733009734096,2,300,90,0,3000
127,Ling,Hefei,Hangzhou,1331974146451.334,1332010146451.334,1,324.5665668056832,3,300,90,0,3000
128,Ling,Hefei,Hangzhou,1332060546451.334,1332096546451.334,2,324.5665668056832,5,300,90,0,3000
129,Ling,Shanghai,Hangzhou,1332146946451.334,1332182946451.334,3,116.09922555340886,5,300,90,0,3000
130,Ling,Hefei,Shanghai,1332233346451.334,1332269346451.334,1,384.38806450717783,3,300,90,0,3000
131,Ling,Hefei,Shanghai,1332319746451.334,1332355746451.334,2,384.38806450717783,4,300,90,0,3000
132,Ling,Hefei,Shanghai,1332406146451.334,1332442146451.334,2,384.38806450717783,5,300,90,0,3000
133,Ling,Wuxi,Shanghai,1332492546451.334,1332528546451.334,3,116.1316602594519,5,300,90,0,3000
134,Ling,Hefei,Shanghai,1332578946451.334,1332614946451.334,3,384.38806450717783,3,300,90,0,3000
135,Ling,Shanghai,Hangzhou,1332665346451.334,1332701346451.334,3,116.09922555340886,2,300,90,0,3000
136,Ling,Hefei,Wuxi,1332751746451.334,1332787746451.334,1,284.5733009734096,3,300,90,0,3000
137,Ling,Hangzhou,Shanghai,1332838146451.334,1332874146451.334,2,116.09922555340886,5,300,90,0,3000
138,Ling,Shanghai,Hangzhou,1332924546451.334,1332960546451.334,1,116.09922555340886,5,300,90,0,3000
139,Ling,Wuxi,Hangzhou,1333010946451.334,1333046946451.334,1,144.91306819366292,5,300,90,0,3000
140,Ling,Wuxi,Hangzhou,1333097346451.334,1333133346451.334,1,144.91306819366292,4,300,90,0,3000
141,Ling,Shanghai,Hangzhou,1333183746451.334,1333219746451.334,3,116.09922555340886,4,300,90,0,3000
142,Ling,Wuxi,Hefei,1333270146451.334,1333306146451.334,2,284.5733009734096,5,300,90,0,3000
143,Ling,Wuxi,Hangzhou,1333356546451.334,1333392546451.334,1,144.91306819366292,5,300,90,0,3000
144,Ling,Hefei,Wuxi,1333442946451.334,1333478946451.334,2,284.5733009734096,5,300,90,0,3000
145,Ling,Hangzhou,Hefei,1333529346451.334,1333565346451.334,2,324.5665668056832,4,300,90,0,3000
146,Ling,Shanghai,Wuxi,1333615746451.334,1333651746451.334,1,116.1316602594519,2,300,90,0,3000
147,Ling,Wuxi,Shanghai,1333702146451.334,1333738146451.334,3,116.1316602594519,5,300,90,0,3000
148,Ling,Hangzhou,Wuxi,1333788546451.334,1333824546451.334,2,144.91306819366292,5,300,90,0,3000
149,Ling,Wuxi,Hefei,1333874946451.334,1333910946451.334,1,284.5733009734096,3,300,90,0,3000
150,Ling,Hefei,Shanghai,1333961346451.334,1333997346451.334,3,384.38806450717783,4,300,90,0,3000
151,Ling,Hangzhou,Shanghai,1334047746451.334,1334083746451.334,1,116.09922555340886,4,300,90,0,3000
152,Ling,Wuxi,Hangzhou,1334134146451.334,1334170146451.334,3,144.91306819366292,5,300,90,0,3000
153,Ling,Hefei,Hangzhou,1334220546451.334,1334256546451.334,1,324.5665668056832,3,300,90,0,3000
154,Ling,Hefei,Hangzhou,1334306946451.334,1334342946451.334,2,324.5665668056832,4,300,90,0,3000
155,Ling,Hangzhou,Wuxi,1334393346451.334,1334429346451.334,1,144.91306819366292,5,300,90,0,3000
156,Ling,Hefei,Wuxi,1334479746451.334,1334515746451.334,1,284.5733009734096,3,300,90,0,3000
157,Ling,Hangzhou,Hefei,1334566146451.334,1334602146451.334,3,324.5665668056832,5,300,90,0,3000
158,Ling,Hefei,Hangzhou,1334652546451.334,1334688546451.334,1,324.5665668056832,4,300,90,0,3000
159,Ling,Shanghai,Hangzhou,1334738946451.334,1334774946451.334,3,116.09922555340886,4,300,90,0,3000
160,Ling,Wuxi,Hangzhou,1334825346451.334,1334861346451.334,3,144.91306819366292,5,300,90,0,3000
161,Ling,Shanghai,Wuxi,1334911746451.334,1334947746451.334,3,116.1316602594519,4,300,90,0,3000
162,Ling,Shanghai,Hefei,1334998146451.334,1335034146451.334,3,384.38806450717783,2,300,90,0,3000
163,Ling,Wuxi,Hangzhou,1335084546451.334,1335120546451.334,1,144.91306819366292,4,300,90,0,3000
164,Ling,Shanghai,Hefei,1335170946451.334,1335206946451.334,2,384.38806450717783,3,300,90,0,3000
165,Ling,Hangzhou,Shanghai,1335257346451.334,1335293346451.334,2,116.09922555340886,5,300,90,0,3000
166,Ling,Shanghai,Hefei,1335343746451.334,1335379746451.334,1,384.38806450717783,2,300,90,0,3000
167,Ling,Shanghai,Hefei,1335430146451.334,1335466146451.334,2,384.38806450717783,2,300,90,0,3000
168,Ling,Hefei,Shanghai,1335516546451.334,1335552546451.334,3,384.38806450717783,2,300,90,0,3000
169,Ling,Shanghai,Hefei,1335602946451.334,1335638946451.334,2,384.38806450717783,2,300,90,0,3000
170,Ling,Hangzhou,Hefei,1335689346451.334,1335725346451.334,3,324.5665668056832,2,300,90,0,3000
171,Ling,Hefei,Hangzhou,1335775746451.334,1335811746451.334,1,324.5665668056832,3,300,90,0,3000
172,Ling,Shanghai,Hefei,1335862146451.334,1335898146451.334,1,384.38806450717783,2,300,90,0,3000
173,Ling,Hefei,Hangzhou,1335948546451.334,1335984546451.334,2,324.5665668056832,4,300,90,0,3000
174,Ling,Hefei,Wuxi,1336034946451.334,1336070946451.334,1,284.5733009734096,3,300,90,0,3000
175,Ling,Wuxi,Hangzhou,1336121346451.334,1336157346451.334,3,144.91306819366292,4,300,90,0,3000
176,Ling,Shanghai,Wuxi,1336207746451.334,1336243746451.334,3,116.1316602594519,3,300,90,0,3000
177,Ling,Shanghai,Hefei,1336294146451.334,1336330146451.334,3,384.38806450717783,4,300,90,0,3000
178,Ling,Shanghai,Hefei,1336380546451.334,1336416546451.334,2,384.38806450717783,4,300,90,0,3000
179,Ling,Shanghai,Wuxi,1336466946451.334,1336502946451.334,2,116.1316602594519,3,300,90,0,3000
180,Ling,Shanghai,Wuxi,1336553346451.334,1336589346451.334,1,116.1316602594519,3,300,90,0,3000
181,Ling,Hangzhou,Wuxi,1336639746451.334,1336675746451.334,1,144.91306819366292,3,300,90,0,3000
