,driver,startLocation,endLocation,startTime,endTime,meansOfTransport,distance,timespan,duration,delay,trafficViolation,cost
0,Lingqi,Hefei,Shijiazhuang,1257929339846.622,1257965339846.622,3,758.1446443148227,6,300,90,1,3000
1,Lingqi,Kunming,Taiyuan,1258015739846.622,1258051739846.622,2,1707.4061138053914,6,300,90,1,3000
2,Lingqi,Tianjin,Beijing,1258102139846.622,1258138139846.622,1,115.92648299931139,3,300,90,1,3000
3,Lingqi,Taiyuan,Kunming,1258188539846.622,1258224539846.622,1,1707.4061138053914,3,300,90,1,3000
4,Lingqi,Shanghai,Taiyuan,1258274939846.622,1258310939846.622,2,1093.0427267173748,6,300,90,1,3000
5,Lingqi,Kunming,Shijiazhuang,1258361339846.622,1258397339846.622,2,1824.9907949936446,6,300,90,1,3000
6,Lingqi,Hangzhou,Hefei,1258447739846.622,1258483739846.622,2,324.5665668056832,4,300,90,1,3000
7,Lingqi,Shanghai,Beijing,1258534139846.622,1258570139846.622,1,1078.212744265549,4,300,90,1,3000
8,Lingqi,Chongqing,Taiyuan,1258620539846.622,1258656539846.622,1,1067.861755878668,6,300,90,1,3000
9,Lingqi,Kunming,Taiyuan,1258706939846.622,1258742939846.622,3,1707.4061138053914,6,300,90,1,3000
10,Lingqi,Wuxi,Hefei,1258793339846.622,1258829339846.622,1,284.5733009734096,2,300,90,1,3000
11,Lingqi,Shijiazhuang,Hefei,1258879739846.622,1258915739846.622,1,758.1446443148227,5,300,90,1,3000
12,Lingqi,Tianjin,Beijing,1258966139846.622,1259002139846.622,3,115.92648299931139,5,300,90,1,3000
13,Lingqi,Guiyang,Hefei,1259052539846.622,1259088539846.622,2,1147.9717139310262,4,300,90,1,3000
14,Lingqi,Shanghai,Chengdu,1259138939846.622,1259174939846.622,2,1613.7217797860155,5,300,90,1,3000
15,Lingqi,Hefei,Guiyang,1259225339846.622,1259261339846.622,2,1147.9717139310262,3,300,90,1,3000
16,Lingqi,Chengdu,Kunming,1259311739846.622,1259347739846.622,2,637.9145943128929,2,300,90,1,3000
17,Lingqi,Shijiazhuang,Tianjin,1259398139846.622,1259434139846.622,2,249.51407691799224,3,300,90,1,3000
18,Lingqi,Chongqing,Shijiazhuang,1259484539846.622,1259520539846.622,3,1177.1050935151047,5,300,90,1,3000
19,Lingqi,Chongqing,Beijing,1259570939846.622,1259606939846.622,2,1414.5204529506702,6,300,90,1,3000
20,Lingqi,Chengdu,Shijiazhuang,1259657339846.622,1259693339846.622,3,1259.7086576589788,6,300,90,1,3000
21,Lingqi,Hefei,Chengdu,1259743739846.622,1259779739846.622,3,1232.6260207838702,6,300,90,1,3000
22,Lingqi,Hefei,Hangzhou,1259830139846.622,1259866139846.622,3,324.5665668056832,3,300,90,1,3000
23,Lingqi,Tianjin,Hefei,1259916539846.622,1259952539846.622,3,845.3467325449502,5,300,90,1,3000
24,Lingqi,Chengdu,Hangzhou,1260002939846.622,1260038939846.622,3,1533.2816599742448,5,300,90,1,3000
