,driver,startLocation,endLocation,startTime,endTime,meansOfTransport,distance,timespan,duration,delay,trafficViolation,cost
0,Patric,Taiyuan,Beijing,1226393342937.857,1226429342937.857,3,369.5257904633235,4,300,90,1,3000
1,Patric,Shijiazhuang,Beijing,1226479742937.857,1226515742937.857,2,238.6230874528649,4,300,90,1,3000
2,Patric,Beijing,Taiyuan,1226566142937.857,1226602142937.857,1,369.5257904633235,6,300,90,1,3000
3,Patric,Taiyuan,Tianjin,1226652542937.857,1226688542937.857,2,413.7816180343131,6,300,90,1,3000
4,Patric,Tianjin,Shijiazhuang,1226738942937.857,1226774942937.857,2,249.51407691799224,6,300,90,1,3000
5,Patric,Tianjin,Beijing,1226825342937.857,1226861342937.857,3,115.92648299931139,3,300,90,1,3000
6,Patric,Taiyuan,Beijing,1226911742937.857,1226947742937.857,3,369.5257904633235,2,300,90,1,3000
7,Patric,Taiyuan,Beijing,1226998142937.857,1227034142937.857,1,369.5257904633235,4,300,90,1,3000
8,Patric,Taiyuan,Shijiazhuang,1227084542937.857,1227120542937.857,2,175.76892590155305,3,300,90,1,3000
9,Patric,Shijiazhuang,Tianjin,1227170942937.857,1227206942937.857,3,249.51407691799224,3,300,90,1,3000
10,Patric,Tianjin,Taiyuan,1227257342937.857,1227293342937.857,3,413.7816180343131,4,300,90,1,3000
11,Patric,Tianjin,Taiyuan,1227343742937.857,1227379742937.857,2,413.7816180343131,2,300,90,1,3000
12,Patric,Taiyuan,Beijing,1227430142937.857,1227466142937.857,1,369.5257904633235,4,300,90,1,3000
13,Patric,Tianjin,Shijiazhuang,1227516542937.857,1227552542937.857,1,249.51407691799224,6,300,90,1,3000
14,Patric,Taiyuan,Tianjin,1227602942937.857,1227638942937.857,1,413.7816180343131,3,300,90,1,3000
15,Patric,Tianjin,Shijiazhuang,1227689342937.857,1227725342937.857,2,249.51407691799224,5,300,90,1,3000
16,Patric,Taiyuan,Shijiazhuang,1227775742937.857,1227811742937.857,2,175.76892590155305,6,300,90,1,3000
17,Patric,Beijing,Shijiazhuang,1227862142937.857,1227898142937.857,2,238.6230874528649,6,300,90,1,3000
18,Patric,Beijing,Shijiazhuang,1227948542937.857,1227984542937.857,2,238.6230874528649,5,300,90,1,3000
19,Patric,Tianjin,Taiyuan,1228034942937.857,1228070942937.857,3,413.7816180343131,4,300,90,1,3000
20,Patric,Tianjin,Taiyuan,1228121342937.857,1228157342937.857,1,413.7816180343131,6,300,90,1,3000
21,Patric,Taiyuan,Tianjin,1228207742937.857,1228243742937.857,2,413.7816180343131,2,300,90,1,3000
22,Patric,Tianjin,Shijiazhuang,1228294142937.857,1228330142937.857,1,249.51407691799224,2,300,90,1,3000
23,Patric,Taiyuan,Shijiazhuang,1228380542937.857,1228416542937.857,2,175.76892590155305,5,300,90,1,3000
24,Patric,Beijing,Shijiazhuang,1228466942937.857,1228502942937.857,1,238.6230874528649,6,300,90,1,3000
25,Patric,Beijing,Taiyuan,1228553342937.857,1228589342937.857,2,369.5257904633235,3,300,90,1,3000
26,Patric,Shijiazhuang,Taiyuan,1228639742937.857,1228675742937.857,1,175.76892590155305,4,300,90,1,3000
27,Patric,Taiyuan,Tianjin,1228726142937.857,1228762142937.857,1,413.7816180343131,4,300,90,1,3000
28,Patric,Taiyuan,Shijiazhuang,1228812542937.857,1228848542937.857,1,175.76892590155305,4,300,90,1,3000
29,Patric,Taiyuan,Tianjin,1228898942937.857,1228934942937.857,3,413.7816180343131,3,300,90,1,3000
30,Patric,Beijing,Taiyuan,1228985342937.857,1229021342937.857,1,369.5257904633235,3,300,90,1,3000
31,Patric,Shijiazhuang,Beijing,1229071742937.857,1229107742937.857,2,238.6230874528649,3,300,90,0,3000
32,Patric,Tianjin,Taiyuan,1229158142937.857,1229194142937.857,3,413.7816180343131,2,300,90,0,3000
33,Patric,Tianjin,Taiyuan,1229244542937.857,1229280542937.857,2,413.7816180343131,5,300,90,0,3000
34,Patric,Shijiazhuang,Tianjin,1229330942937.857,1229366942937.857,1,249.51407691799224,4,300,90,0,3000
35,Patric,Beijing,Shijiazhuang,1229417342937.857,1229453342937.857,1,238.6230874528649,5,300,90,0,3000
36,Patric,Tianjin,Beijing,1229503742937.857,1229539742937.857,3,115.92648299931139,6,300,90,0,3000
37,Patric,Shijiazhuang,Tianjin,1229590142937.857,1229626142937.857,2,249.51407691799224,3,300,90,0,3000
38,Patric,Beijing,Shijiazhuang,1229676542937.857,1229712542937.857,1,238.6230874528649,6,300,90,0,3000
39,Patric,Shijiazhuang,Beijing,1229762942937.857,1229798942937.857,3,238.6230874528649,4,300,90,0,3000
40,Patric,Taiyuan,Shijiazhuang,1229849342937.857,1229885342937.857,2,175.76892590155305,2,300,90,0,3000
41,Patric,Taiyuan,Tianjin,1229935742937.857,1229971742937.857,3,413.7816180343131,3,300,90,0,3000
42,Patric,Taiyuan,Tianjin,1230022142937.857,1230058142937.857,2,413.7816180343131,5,300,90,0,3000
43,Patric,Beijing,Taiyuan,1230108542937.857,1230144542937.857,1,369.5257904633235,5,300,90,0,3000
44,Patric,Tianjin,Taiyuan,1230194942937.857,1230230942937.857,3,413.7816180343131,6,300,90,0,3000
45,Patric,Beijing,Shijiazhuang,1230281342937.857,1230317342937.857,1,238.6230874528649,6,300,90,0,3000
46,Patric,Beijing,Tianjin,1230367742937.857,1230403742937.857,2,115.92648299931139,3,300,90,0,3000
47,Patric,Taiyuan,Beijing,1230454142937.857,1230490142937.857,3,369.5257904633235,2,300,90,0,3000
48,Patric,Beijing,Shijiazhuang,1230540542937.857,1230576542937.857,2,238.6230874528649,5,300,90,0,3000
49,Patric,Tianjin,Shijiazhuang,1230626942937.857,1230662942937.857,2,249.51407691799224,6,300,90,0,3000
50,Patric,Beijing,Tianjin,1230713342937.857,1230749342937.857,2,115.92648299931139,6,300,90,0,3000
51,Patric,Shijiazhuang,Beijing,1230799742937.857,1230835742937.857,1,238.6230874528649,6,300,90,0,3000
52,Patric,Beijing,Shijiazhuang,1230886142937.857,1230922142937.857,3,238.6230874528649,3,300,90,0,3000
53,Patric,Tianjin,Shijiazhuang,1230972542937.857,1231008542937.857,3,249.51407691799224,4,300,90,0,3000
54,Patric,Beijing,Shijiazhuang,1231058942937.857,1231094942937.857,2,238.6230874528649,5,300,90,0,3000
55,Patric,Tianjin,Beijing,1231145342937.857,1231181342937.857,3,115.92648299931139,3,300,90,0,3000
56,Patric,Tianjin,Beijing,1231231742937.857,1231267742937.857,1,115.92648299931139,4,300,90,0,3000
57,Patric,Taiyuan,Tianjin,1231318142937.857,1231354142937.857,3,413.7816180343131,2,300,90,0,3000
58,Patric,Shijiazhuang,Tianjin,1231404542937.857,1231440542937.857,1,249.51407691799224,3,300,90,0,3000
59,Patric,Shijiazhuang,Beijing,1231490942937.857,1231526942937.857,2,238.6230874528649,5,300,90,0,3000
60,Patric,Tianjin,Shijiazhuang,1231577342937.857,1231613342937.857,2,249.51407691799224,2,300,90,0,3000
