,driver,startLocation,endLocation,startTime,endTime,meansOfTransport,distance,timespan,duration,delay,trafficViolation,cost
0,Robin,Guiyang,Kunming,1352537350981.527,1352573350981.527,1,429.159289327091,1,300,90,1,3000
1,Robin,Kunming,Guiyang,1352623750981.527,1352659750981.527,2,429.159289327091,1,300,90,1,3000
2,Robin,Chongqing,Chengdu,1352710150981.527,1352746150981.527,2,296.0347511595893,3,300,90,1,3000
3,Robin,Chengdu,Guiyang,1352796550981.527,1352832550981.527,2,507.45629624974424,4,300,90,1,3000
4,Robin,Guiyang,Kunming,1352882950981.527,1352918950981.527,3,429.159289327091,2,300,90,1,3000
5,Robin,Chongqing,Chengdu,1352969350981.527,1353005350981.527,2,296.0347511595893,4,300,90,1,3000
6,Robin,Kunming,Chengdu,1353055750981.527,1353091750981.527,3,637.9145943128929,3,300,90,1,3000
7,Robin,Kunming,Chengdu,1353142150981.527,1353178150981.527,1,637.9145943128929,1,300,90,1,3000
8,Robin,Guiyang,Chengdu,1353228550981.527,1353264550981.527,2,507.45629624974424,2,300,90,1,3000
9,Robin,Kunming,Chengdu,1353314950981.527,1353350950981.527,1,637.9145943128929,2,300,90,1,3000
10,Robin,Kunming,Guiyang,1353401350981.527,1353437350981.527,3,429.159289327091,4,300,90,1,3000
11,Robin,Kunming,Guiyang,1353487750981.527,1353523750981.527,2,429.159289327091,4,300,90,1,3000
12,Robin,Guiyang,Kunming,1353574150981.527,1353610150981.527,2,429.159289327091,4,300,90,1,3000
13,Robin,Chongqing,Guiyang,1353660550981.527,1353696550981.527,3,323.9075153217893,3,300,90,1,3000
14,Robin,Chengdu,Kunming,1353746950981.527,1353782950981.527,2,637.9145943128929,4,300,90,1,3000
15,Robin,Guiyang,Kunming,1353833350981.527,1353869350981.527,1,429.159289327091,4,300,90,1,3000
16,Robin,Kunming,Chongqing,1353919750981.527,1353955750981.527,1,650.2676800234859,2,300,90,1,3000
17,Robin,Guiyang,Chongqing,1354006150981.527,1354042150981.527,2,323.9075153217893,2,300,90,1,3000
18,Robin,Chongqing,Chengdu,1354092550981.527,1354128550981.527,1,296.0347511595893,1,300,90,1,3000
19,Robin,Chongqing,Kunming,1354178950981.527,1354214950981.527,2,650.2676800234859,3,300,90,1,3000
20,Robin,Chongqing,Chengdu,1354265350981.527,1354301350981.527,1,296.0347511595893,4,300,90,1,3000
21,Robin,Guiyang,Kunming,1354351750981.527,1354387750981.527,2,429.159289327091,1,300,90,1,3000
22,Robin,Chongqing,Guiyang,1354438150981.527,1354474150981.527,1,323.9075153217893,1,300,90,1,3000
23,Robin,Guiyang,Kunming,1354524550981.527,1354560550981.527,2,429.159289327091,2,300,90,1,3000
24,Robin,Guiyang,Kunming,1354610950981.527,1354646950981.527,1,429.159289327091,3,300,90,1,3000
25,Robin,Guiyang,Chongqing,1354697350981.527,1354733350981.527,1,323.9075153217893,1,300,90,1,3000
26,Robin,Chongqing,Guiyang,1354783750981.527,1354819750981.527,1,323.9075153217893,4,300,90,1,3000
27,Robin,Chongqing,Chengdu,1354870150981.527,1354906150981.527,3,296.0347511595893,1,300,90,1,3000
28,Robin,Guiyang,Kunming,1354956550981.527,1354992550981.527,3,429.159289327091,2,300,90,1,3000
29,Robin,Kunming,Chongqing,1355042950981.527,1355078950981.527,2,650.2676800234859,1,300,90,1,3000
30,Robin,Chengdu,Kunming,1355129350981.527,1355165350981.527,2,637.9145943128929,4,300,90,1,3000
31,Robin,Kunming,Chongqing,1355215750981.527,1355251750981.527,1,650.2676800234859,1,300,90,1,3000
32,Robin,Chengdu,Kunming,1355302150981.527,1355338150981.527,2,637.9145943128929,3,300,90,1,3000
33,Robin,Guiyang,Chengdu,1355388550981.527,1355424550981.527,1,507.45629624974424,2,300,90,1,3000
34,Robin,Guiyang,Chengdu,1355474950981.527,1355510950981.527,2,507.45629624974424,1,300,90,1,3000
35,Robin,Chongqing,Chengdu,1355561350981.527,1355597350981.527,3,296.0347511595893,4,300,90,1,3000
36,Robin,Chongqing,Kunming,1355647750981.527,1355683750981.527,2,650.2676800234859,2,300,90,1,3000
37,Robin,Chengdu,Kunming,1355734150981.527,1355770150981.527,2,637.9145943128929,2,300,90,1,3000
38,Robin,Chongqing,Kunming,1355820550981.527,1355856550981.527,1,650.2676800234859,1,300,90,1,3000
39,Robin,Kunming,Chongqing,1355906950981.527,1355942950981.527,2,650.2676800234859,3,300,90,1,3000
40,Robin,Chengdu,Guiyang,1355993350981.527,1356029350981.527,2,507.45629624974424,2,300,90,1,3000
41,Robin,Chengdu,Guiyang,1356079750981.527,1356115750981.527,1,507.45629624974424,2,300,90,1,3000
42,Robin,Kunming,Chongqing,1356166150981.527,1356202150981.527,2,650.2676800234859,2,300,90,1,3000
43,Robin,Kunming,Guiyang,1356252550981.527,1356288550981.527,1,429.159289327091,1,300,90,1,3000
44,Robin,Chengdu,Kunming,1356338950981.527,1356374950981.527,3,637.9145943128929,1,300,90,1,3000
45,Robin,Kunming,Guiyang,1356425350981.527,1356461350981.527,3,429.159289327091,2,300,90,1,3000
46,Robin,Chengdu,Kunming,1356511750981.527,1356547750981.527,2,637.9145943128929,3,300,90,1,3000
47,Robin,Chongqing,Guiyang,1356598150981.527,1356634150981.527,2,323.9075153217893,4,300,90,1,3000
48,Robin,Chengdu,Kunming,1356684550981.527,1356720550981.527,3,637.9145943128929,1,300,90,1,3000
49,Robin,Guiyang,Chengdu,1356770950981.527,1356806950981.527,1,507.45629624974424,3,300,90,1,3000
50,Robin,Kunming,Guiyang,1356857350981.527,1356893350981.527,3,429.159289327091,3,300,90,1,3000
51,Robin,Guiyang,Kunming,1356943750981.527,1356979750981.527,2,429.159289327091,3,300,90,1,3000
52,Robin,Chongqing,Kunming,1357030150981.527,1357066150981.527,3,650.2676800234859,4,300,90,1,3000
53,Robin,Kunming,Chengdu,1357116550981.527,1357152550981.527,3,637.9145943128929,4,300,90,1,3000
54,Robin,Chengdu,Chongqing,1357202950981.527,1357238950981.527,2,296.0347511595893,1,300,90,1,3000
55,Robin,Chengdu,Chongqing,1357289350981.527,1357325350981.527,1,296.0347511595893,2,300,90,1,3000
56,Robin,Kunming,Guiyang,1357375750981.527,1357411750981.527,3,429.159289327091,2,300,90,1,3000
57,Robin,Chengdu,Kunming,1357462150981.527,1357498150981.527,3,637.9145943128929,3,300,90,1,3000
58,Robin,Chengdu,Kunming,1357548550981.527,1357584550981.527,3,637.9145943128929,4,300,90,1,3000
59,Robin,Kunming,Chengdu,1357634950981.527,1357670950981.527,3,637.9145943128929,2,300,90,1,3000
60,Robin,Kunming,Guiyang,1357721350981.527,1357757350981.527,3,429.159289327091,3,300,90,1,3000
61,Robin,Guiyang,Kunming,1357807750981.527,1357843750981.527,3,429.159289327091,3,300,90,1,3000
62,Robin,Chengdu,Chongqing,1357894150981.527,1357930150981.527,2,296.0347511595893,1,300,90,1,3000
63,Robin,Chongqing,Guiyang,1357980550981.527,1358016550981.527,1,323.9075153217893,4,300,90,1,3000
64,Robin,Guiyang,Chengdu,1358066950981.527,1358102950981.527,2,507.45629624974424,4,300,90,1,3000
65,Robin,Chengdu,Guiyang,1358153350981.527,1358189350981.527,3,507.45629624974424,4,300,90,1,3000
66,Robin,Kunming,Guiyang,1358239750981.527,1358275750981.527,2,429.159289327091,3,300,90,1,3000
67,Robin,Chongqing,Chengdu,1358326150981.527,1358362150981.527,3,296.0347511595893,1,300,90,1,3000
68,Robin,Chongqing,Guiyang,1358412550981.527,1358448550981.527,1,323.9075153217893,3,300,90,1,3000
69,Robin,Guiyang,Chongqing,1358498950981.527,1358534950981.527,2,323.9075153217893,2,300,90,1,3000
70,Robin,Chongqing,Chengdu,1358585350981.527,1358621350981.527,1,296.0347511595893,3,300,90,1,3000
71,Robin,Kunming,Guiyang,1358671750981.527,1358707750981.527,3,429.159289327091,3,300,90,1,3000
72,Robin,Kunming,Chongqing,1358758150981.527,1358794150981.527,2,650.2676800234859,2,300,90,1,3000
73,Robin,Chongqing,Guiyang,1358844550981.527,1358880550981.527,3,323.9075153217893,4,300,90,1,3000
74,Robin,Kunming,Guiyang,1358930950981.527,1358966950981.527,1,429.159289327091,3,300,90,1,3000
75,Robin,Kunming,Chongqing,1359017350981.527,1359053350981.527,2,650.2676800234859,3,300,90,1,3000
76,Robin,Guiyang,Kunming,1359103750981.527,1359139750981.527,1,429.159289327091,4,300,90,1,3000
77,Robin,Guiyang,Chengdu,1359190150981.527,1359226150981.527,3,507.45629624974424,4,300,90,1,3000
78,Robin,Chongqing,Kunming,1359276550981.527,1359312550981.527,1,650.2676800234859,4,300,90,1,3000
79,Robin,Guiyang,Chongqing,1359362950981.527,1359398950981.527,1,323.9075153217893,4,300,90,1,3000
80,Robin,Kunming,Guiyang,1359449350981.527,1359485350981.527,3,429.159289327091,4,300,90,1,3000
81,Robin,Chongqing,Guiyang,1359535750981.527,1359571750981.527,2,323.9075153217893,4,300,90,1,3000
82,Robin,Kunming,Chengdu,1359622150981.527,1359658150981.527,2,637.9145943128929,2,300,90,1,3000
83,Robin,Kunming,Chengdu,1359708550981.527,1359744550981.527,1,637.9145943128929,4,300,90,1,3000
84,Robin,Chengdu,Chongqing,1359794950981.527,1359830950981.527,2,296.0347511595893,4,300,90,1,3000
85,Robin,Guiyang,Chengdu,1359881350981.527,1359917350981.527,2,507.45629624974424,2,300,90,1,3000
86,Robin,Chengdu,Guiyang,1359967750981.527,1360003750981.527,3,507.45629624974424,2,300,90,1,3000
87,Robin,Chengdu,Chongqing,1360054150981.527,1360090150981.527,3,296.0347511595893,2,300,90,1,3000
88,Robin,Guiyang,Chongqing,1360140550981.527,1360176550981.527,1,323.9075153217893,1,300,90,1,3000
89,Robin,Guiyang,Chongqing,1360226950981.527,1360262950981.527,1,323.9075153217893,1,300,90,1,3000
90,Robin,Chengdu,Chongqing,1360313350981.527,1360349350981.527,1,296.0347511595893,4,300,90,0,3000
91,Robin,Chongqing,Kunming,1360399750981.527,1360435750981.527,2,650.2676800234859,1,300,90,0,3000
92,Robin,Chengdu,Guiyang,1360486150981.527,1360522150981.527,1,507.45629624974424,3,300,90,0,3000
93,Robin,Chongqing,Chengdu,1360572550981.527,1360608550981.527,2,296.0347511595893,3,300,90,0,3000
94,Robin,Chengdu,Chongqing,1360658950981.527,1360694950981.527,3,296.0347511595893,3,300,90,0,3000
95,Robin,Chengdu,Chongqing,1360745350981.527,1360781350981.527,2,296.0347511595893,4,300,90,0,3000
96,Robin,Chengdu,Kunming,1360831750981.527,1360867750981.527,3,637.9145943128929,4,300,90,0,3000
97,Robin,Chengdu,Kunming,1360918150981.527,1360954150981.527,2,637.9145943128929,4,300,90,0,3000
98,Robin,Guiyang,Kunming,1361004550981.527,1361040550981.527,1,429.159289327091,1,300,90,0,3000
99,Robin,Guiyang,Kunming,1361090950981.527,1361126950981.527,1,429.159289327091,2,300,90,0,3000
100,Robin,Chongqing,Kunming,1361177350981.527,1361213350981.527,2,650.2676800234859,2,300,90,0,3000
101,Robin,Kunming,Chengdu,1361263750981.527,1361299750981.527,1,637.9145943128929,1,300,90,0,3000
102,Robin,Guiyang,Chongqing,1361350150981.527,1361386150981.527,3,323.9075153217893,4,300,90,0,3000
103,Robin,Kunming,Chengdu,1361436550981.527,1361472550981.527,3,637.9145943128929,3,300,90,0,3000
104,Robin,Chongqing,Guiyang,1361522950981.527,1361558950981.527,1,323.9075153217893,3,300,90,0,3000
105,Robin,Chengdu,Guiyang,1361609350981.527,1361645350981.527,2,507.45629624974424,2,300,90,0,3000
106,Robin,Guiyang,Kunming,1361695750981.527,1361731750981.527,2,429.159289327091,3,300,90,0,3000
107,Robin,Chengdu,Guiyang,1361782150981.527,1361818150981.527,1,507.45629624974424,3,300,90,0,3000
108,Robin,Chengdu,Chongqing,1361868550981.527,1361904550981.527,1,296.0347511595893,3,300,90,0,3000
109,Robin,Chengdu,Chongqing,1361954950981.527,1361990950981.527,3,296.0347511595893,4,300,90,0,3000
110,Robin,Guiyang,Kunming,1362041350981.527,1362077350981.527,2,429.159289327091,3,300,90,0,3000
111,Robin,Chengdu,Chongqing,1362127750981.527,1362163750981.527,2,296.0347511595893,2,300,90,0,3000
112,Robin,Chengdu,Guiyang,1362214150981.527,1362250150981.527,1,507.45629624974424,4,300,90,0,3000
