,driver,startLocation,endLocation,startTime,endTime,meansOfTransport,distance,timespan,duration,delay,trafficViolation,cost
0,Sage,Tianjin,Beijing,1289465359425.48,1289501359425.48,2,115.92648299931139,2,300,90,1,3000
1,Sage,Beijing,Kunming,1289551759425.48,1289587759425.48,1,2061.280975299922,4,300,90,1,3000
2,Sage,Shanghai,Tianjin,1289638159425.48,1289674159425.48,2,971.5104376019021,4,300,90,1,3000
3,Sage,Wuxi,Chongqing,1289724559425.48,1289760559425.48,1,1275.5600633918282,4,300,90,1,3000
4,Sage,Hefei,Taiyuan,1289810959425.48,1289846959425.48,2,821.9755751395555,4,300,90,1,3000
5,Sage,Chongqing,Kunming,1289897359425.48,1289933359425.48,1,650.2676800234859,4,300,90,1,3000
6,Sage,Beijing,Taiyuan,1289983759425.48,1290019759425.48,3,369.5257904633235,3,300,90,1,3000
7,Sage,Guiyang,Kunming,1290070159425.48,1290106159425.48,2,429.159289327091,4,300,90,1,3000
8,Sage,Shijiazhuang,Chengdu,1290156559425.48,1290192559425.48,3,1259.7086576589788,4,300,90,1,3000
9,Sage,Taiyuan,Beijing,1290242959425.48,1290278959425.48,1,369.5257904633235,3,300,90,1,3000
10,Sage,Chengdu,Shijiazhuang,1290329359425.48,1290365359425.48,2,1259.7086576589788,2,300,90,1,3000
11,Sage,Kunming,Shanghai,1290415759425.48,1290451759425.48,1,1914.136906493497,4,300,90,1,3000
12,Sage,Guiyang,Chongqing,1290502159425.48,1290538159425.48,1,323.9075153217893,4,300,90,1,3000
13,Sage,Shanghai,Hangzhou,1290588559425.48,1290624559425.48,2,116.09922555340886,4,300,90,1,3000
14,Sage,Hangzhou,Shijiazhuang,1290674959425.48,1290710959425.48,3,999.1213608962677,3,300,90,1,3000
15,Sage,Chengdu,Shijiazhuang,1290761359425.48,1290797359425.48,3,1259.7086576589788,4,300,90,1,3000
16,Sage,Shanghai,Hefei,1290847759425.48,1290883759425.48,3,384.38806450717783,3,300,90,1,3000
17,Sage,Kunming,Tianjin,1290934159425.48,1290970159425.48,3,2062.647376177471,3,300,90,1,3000
18,Sage,Chengdu,Chongqing,1291020559425.48,1291056559425.48,3,296.0347511595893,4,300,90,1,3000
19,Sage,Tianjin,Shanghai,1291106959425.48,1291142959425.48,3,971.5104376019021,2,300,90,1,3000
20,Sage,Beijing,Tianjin,1291193359425.48,1291229359425.48,1,115.92648299931139,3,300,90,1,3000
21,Sage,Hefei,Shijiazhuang,1291279759425.48,1291315759425.48,2,758.1446443148227,3,300,90,1,3000
22,Sage,Beijing,Chengdu,1291366159425.48,1291402159425.48,1,1486.3902912181813,3,300,90,1,3000
23,Sage,Taiyuan,Tianjin,1291452559425.48,1291488559425.48,3,413.7816180343131,4,300,90,1,3000
24,Sage,Chongqing,Shijiazhuang,1291538959425.48,1291574959425.48,3,1177.1050935151047,4,300,90,1,3000
25,Sage,Hefei,Tianjin,1291625359425.48,1291661359425.48,1,845.3467325449502,2,300,90,1,3000
26,Sage,Shanghai,Wuxi,1291711759425.48,1291747759425.48,3,116.1316602594519,2,300,90,1,3000
27,Sage,Chongqing,Wuxi,1291798159425.48,1291834159425.48,1,1275.5600633918282,3,300,90,1,3000
