,driver,startLocation,endLocation,startTime,endTime,meansOfTransport,distance,timespan,duration,delay,trafficViolation,cost
0,Sue,Guiyang,Chongqing,1289465337190.748,1289501337190.748,1,323.9075153217893,2,300,90,1,3000
1,Sue,Kunming,Chengdu,1289551737190.748,1289587737190.748,2,637.9145943128929,3,300,90,1,3000
2,Sue,Chongqing,Guiyang,1289638137190.748,1289674137190.748,1,323.9075153217893,3,300,90,1,3000
3,Sue,Kunming,Guiyang,1289724537190.748,1289760537190.748,2,429.159289327091,4,300,90,1,3000
4,Sue,Chengdu,Chongqing,1289810937190.748,1289846937190.748,3,296.0347511595893,3,300,90,1,3000
5,Sue,Chongqing,Kunming,1289897337190.748,1289933337190.748,3,650.2676800234859,2,300,90,1,3000
6,Sue,Kunming,Chengdu,1289983737190.748,1290019737190.748,3,637.9145943128929,2,300,90,1,3000
7,Sue,Chongqing,Guiyang,1290070137190.748,1290106137190.748,2,323.9075153217893,2,300,90,1,3000
8,Sue,Chengdu,Guiyang,1290156537190.748,1290192537190.748,1,507.45629624974424,3,300,90,1,3000
9,Sue,Guiyang,Chongqing,1290242937190.748,1290278937190.748,3,323.9075153217893,3,300,90,1,3000
10,Sue,Chongqing,Chengdu,1290329337190.748,1290365337190.748,2,296.0347511595893,3,300,90,1,3000
11,Sue,Guiyang,Chongqing,1290415737190.748,1290451737190.748,2,323.9075153217893,3,300,90,1,3000
12,Sue,Kunming,Guiyang,1290502137190.748,1290538137190.748,1,429.159289327091,2,300,90,1,3000
13,Sue,Guiyang,Chengdu,1290588537190.748,1290624537190.748,2,507.45629624974424,4,300,90,1,3000
14,Sue,Chengdu,Kunming,1290674937190.748,1290710937190.748,2,637.9145943128929,2,300,90,1,3000
15,Sue,Chengdu,Kunming,1290761337190.748,1290797337190.748,2,637.9145943128929,3,300,90,1,3000
16,Sue,Chongqing,Kunming,1290847737190.748,1290883737190.748,1,650.2676800234859,2,300,90,1,3000
17,Sue,Chongqing,Chengdu,1290934137190.748,1290970137190.748,3,296.0347511595893,4,300,90,1,3000
18,Sue,Guiyang,Chongqing,1291020537190.748,1291056537190.748,3,323.9075153217893,3,300,90,1,3000
19,Sue,Chengdu,Kunming,1291106937190.748,1291142937190.748,3,637.9145943128929,3,300,90,1,3000
20,Sue,Guiyang,Chengdu,1291193337190.748,1291229337190.748,2,507.45629624974424,2,300,90,1,3000
21,Sue,Kunming,Guiyang,1291279737190.748,1291315737190.748,3,429.159289327091,2,300,90,1,3000
22,Sue,Guiyang,Chengdu,1291366137190.748,1291402137190.748,1,507.45629624974424,2,300,90,1,3000
23,Sue,Kunming,Chengdu,1291452537190.748,1291488537190.748,3,637.9145943128929,2,300,90,1,3000
24,Sue,Kunming,Chengdu,1291538937190.748,1291574937190.748,2,637.9145943128929,4,300,90,1,3000
25,Sue,Guiyang,Chengdu,1291625337190.748,1291661337190.748,3,507.45629624974424,3,300,90,1,3000
26,Sue,Chongqing,Guiyang,1291711737190.748,1291747737190.748,2,323.9075153217893,3,300,90,1,3000
27,Sue,Guiyang,Chongqing,1291798137190.748,1291834137190.748,1,323.9075153217893,2,300,90,1,3000
28,Sue,Chongqing,Kunming,1291884537190.748,1291920537190.748,1,650.2676800234859,3,300,90,1,3000
29,Sue,Chengdu,Guiyang,1291970937190.748,1292006937190.748,3,507.45629624974424,2,300,90,1,3000
30,Sue,Chongqing,Kunming,1292057337190.748,1292093337190.748,1,650.2676800234859,2,300,90,1,3000
31,Sue,Chengdu,Guiyang,1292143737190.748,1292179737190.748,3,507.45629624974424,3,300,90,1,3000
32,Sue,Kunming,Chengdu,1292230137190.748,1292266137190.748,3,637.9145943128929,3,300,90,1,3000
33,Sue,Guiyang,Chengdu,1292316537190.748,1292352537190.748,2,507.45629624974424,2,300,90,1,3000
34,Sue,Kunming,Chengdu,1292402937190.748,1292438937190.748,1,637.9145943128929,3,300,90,1,3000
35,Sue,Guiyang,Chengdu,1292489337190.748,1292525337190.748,1,507.45629624974424,2,300,90,1,3000
36,Sue,Kunming,Guiyang,1292575737190.748,1292611737190.748,3,429.159289327091,3,300,90,1,3000
37,Sue,Chongqing,Kunming,1292662137190.748,1292698137190.748,2,650.2676800234859,2,300,90,1,3000
38,Sue,Chengdu,Chongqing,1292748537190.748,1292784537190.748,1,296.0347511595893,2,300,90,1,3000
39,Sue,Guiyang,Kunming,1292834937190.748,1292870937190.748,2,429.159289327091,2,300,90,1,3000
40,Sue,Chengdu,Kunming,1292921337190.748,1292957337190.748,1,637.9145943128929,4,300,90,1,3000
41,Sue,Kunming,Chongqing,1293007737190.748,1293043737190.748,1,650.2676800234859,2,300,90,1,3000
42,Sue,Kunming,Chongqing,1293094137190.748,1293130137190.748,3,650.2676800234859,2,300,90,1,3000
43,Sue,Chongqing,Kunming,1293180537190.748,1293216537190.748,3,650.2676800234859,4,300,90,1,3000
44,Sue,Guiyang,Chengdu,1293266937190.748,1293302937190.748,3,507.45629624974424,3,300,90,1,3000
45,Sue,Chongqing,Kunming,1293353337190.748,1293389337190.748,2,650.2676800234859,4,300,90,1,3000
46,Sue,Chengdu,Kunming,1293439737190.748,1293475737190.748,2,637.9145943128929,2,300,90,1,3000
47,Sue,Chongqing,Guiyang,1293526137190.748,1293562137190.748,1,323.9075153217893,4,300,90,1,3000
48,Sue,Guiyang,Chongqing,1293612537190.748,1293648537190.748,3,323.9075153217893,3,300,90,1,3000
49,Sue,Kunming,Chengdu,1293698937190.748,1293734937190.748,2,637.9145943128929,2,300,90,1,3000
50,Sue,Chongqing,Kunming,1293785337190.748,1293821337190.748,3,650.2676800234859,4,300,90,1,3000
51,Sue,Chongqing,Chengdu,1293871737190.748,1293907737190.748,1,296.0347511595893,4,300,90,1,3000
52,Sue,Chengdu,Kunming,1293958137190.748,1293994137190.748,2,637.9145943128929,4,300,90,1,3000
53,Sue,Chengdu,Guiyang,1294044537190.748,1294080537190.748,3,507.45629624974424,2,300,90,1,3000
54,Sue,Kunming,Chongqing,1294130937190.748,1294166937190.748,2,650.2676800234859,4,300,90,1,3000
55,Sue,Guiyang,Kunming,1294217337190.748,1294253337190.748,1,429.159289327091,2,300,90,1,3000
56,Sue,Chongqing,Chengdu,1294303737190.748,1294339737190.748,1,296.0347511595893,2,300,90,1,3000
57,Sue,Kunming,Chongqing,1294390137190.748,1294426137190.748,3,650.2676800234859,4,300,90,1,3000
58,Sue,Chengdu,Kunming,1294476537190.748,1294512537190.748,3,637.9145943128929,4,300,90,1,3000
59,Sue,Chongqing,Kunming,1294562937190.748,1294598937190.748,2,650.2676800234859,3,300,90,1,3000
60,Sue,Chengdu,Kunming,1294649337190.748,1294685337190.748,2,637.9145943128929,4,300,90,1,3000
61,Sue,Guiyang,Chengdu,1294735737190.748,1294771737190.748,1,507.45629624974424,3,300,90,1,3000
62,Sue,Kunming,Chengdu,1294822137190.748,1294858137190.748,1,637.9145943128929,3,300,90,1,3000
63,Sue,Kunming,Chongqing,1294908537190.748,1294944537190.748,2,650.2676800234859,3,300,90,1,3000
64,Sue,Guiyang,Chengdu,1294994937190.748,1295030937190.748,1,507.45629624974424,3,300,90,1,3000
65,Sue,Chengdu,Kunming,1295081337190.748,1295117337190.748,1,637.9145943128929,4,300,90,1,3000
66,Sue,Chongqing,Chengdu,1295167737190.748,1295203737190.748,1,296.0347511595893,4,300,90,1,3000
67,Sue,Chongqing,Kunming,1295254137190.748,1295290137190.748,1,650.2676800234859,4,300,90,1,3000
68,Sue,Guiyang,Chengdu,1295340537190.748,1295376537190.748,1,507.45629624974424,2,300,90,1,3000
69,Sue,Kunming,Chongqing,1295426937190.748,1295462937190.748,1,650.2676800234859,4,300,90,1,3000
