,driver,startLocation,endLocation,startTime,endTime,meansOfTransport,distance,timespan,duration,delay,trafficViolation,cost
0,Summer,Hangzhou,Hefei,1257929356353.332,1257965356353.332,3,324.5665668056832,4,300,90,1,3000
1,Summer,Hangzhou,Hefei,1258015756353.332,1258051756353.332,3,324.5665668056832,4,300,90,1,3000
2,Summer,Hefei,Hangzhou,1258102156353.332,1258138156353.332,2,324.5665668056832,3,300,90,1,3000
3,Summer,Wuxi,Shanghai,1258188556353.332,1258224556353.332,3,116.1316602594519,3,300,90,1,3000
4,Summer,Wuxi,Shanghai,1258274956353.332,1258310956353.332,1,116.1316602594519,5,300,90,1,3000
5,Summer,Shanghai,Hangzhou,1258361356353.332,1258397356353.332,2,116.09922555340886,4,300,90,1,3000
6,Summer,Shanghai,Hangzhou,1258447756353.332,1258483756353.332,3,116.09922555340886,5,300,90,1,3000
7,Summer,Hefei,Wuxi,1258534156353.332,1258570156353.332,2,284.5733009734096,5,300,90,1,3000
8,Summer,Wuxi,Hangzhou,1258620556353.332,1258656556353.332,1,144.91306819366292,3,300,90,1,3000
9,Summer,Hangzhou,Shanghai,1258706956353.332,1258742956353.332,3,116.09922555340886,2,300,90,1,3000
10,Summer,Hangzhou,Hefei,1258793356353.332,1258829356353.332,1,324.5665668056832,4,300,90,1,3000
11,Summer,Hangzhou,Hefei,1258879756353.332,1258915756353.332,3,324.5665668056832,3,300,90,1,3000
12,Summer,Shanghai,Wuxi,1258966156353.332,1259002156353.332,1,116.1316602594519,4,300,90,1,3000
13,Summer,Wuxi,Hefei,1259052556353.332,1259088556353.332,1,284.5733009734096,4,300,90,1,3000
14,Summer,Wuxi,Shanghai,1259138956353.332,1259174956353.332,3,116.1316602594519,3,300,90,1,3000
15,Summer,Shanghai,Hangzhou,1259225356353.332,1259261356353.332,3,116.09922555340886,2,300,90,1,3000
16,Summer,Hangzhou,Hefei,1259311756353.332,1259347756353.332,1,324.5665668056832,2,300,90,1,3000
17,Summer,Hangzhou,Shanghai,1259398156353.332,1259434156353.332,1,116.09922555340886,2,300,90,1,3000
