,driver,startLocation,endLocation,startTime,endTime,meansOfTransport,distance,timespan,duration,delay,trafficViolation,cost
0,Zion,Shijiazhuang,Beijing,1289465331852.0032,1289501331852.0032,1,238.6230874528649,3,300,90,1,3000
1,Zion,Shijiazhuang,Tianjin,1289551731852.0032,1289587731852.0032,3,249.51407691799224,2,300,90,1,3000
2,Zion,Tianjin,Beijing,1289638131852.0032,1289674131852.0032,1,115.92648299931139,5,300,90,1,3000
3,Zion,Beijing,Shijiazhuang,1289724531852.0032,1289760531852.0032,1,238.6230874528649,5,300,90,1,3000
4,Zion,Beijing,Tianjin,1289810931852.0032,1289846931852.0032,2,115.92648299931139,5,300,90,1,3000
5,Zion,Shijiazhuang,Tianjin,1289897331852.0032,1289933331852.0032,3,249.51407691799224,5,300,90,1,3000
6,Zion,Taiyuan,Tianjin,1289983731852.0032,1290019731852.0032,3,413.7816180343131,5,300,90,1,3000
7,Zion,Tianjin,Taiyuan,1290070131852.0032,1290106131852.0032,3,413.7816180343131,4,300,90,1,3000
8,Zion,Taiyuan,Tianjin,1290156531852.0032,1290192531852.0032,1,413.7816180343131,2,300,90,1,3000
9,Zion,Taiyuan,Shijiazhuang,1290242931852.0032,1290278931852.0032,3,175.76892590155305,5,300,90,1,3000
10,Zion,Taiyuan,Tianjin,1290329331852.0032,1290365331852.0032,2,413.7816180343131,5,300,90,1,3000
11,Zion,Taiyuan,Beijing,1290415731852.0032,1290451731852.0032,2,369.5257904633235,2,300,90,1,3000
12,Zion,Shijiazhuang,Taiyuan,1290502131852.0032,1290538131852.0032,3,175.76892590155305,2,300,90,1,3000
13,Zion,Taiyuan,Beijing,1290588531852.0032,1290624531852.0032,2,369.5257904633235,2,300,90,1,3000
14,Zion,Shijiazhuang,Tianjin,1290674931852.0032,1290710931852.0032,1,249.51407691799224,4,300,90,1,3000
15,Zion,Taiyuan,Shijiazhuang,1290761331852.0032,1290797331852.0032,3,175.76892590155305,2,300,90,1,3000
16,Zion,Shijiazhuang,Beijing,1290847731852.0032,1290883731852.0032,2,238.6230874528649,4,300,90,1,3000
17,Zion,Tianjin,Shijiazhuang,1290934131852.0032,1290970131852.0032,3,249.51407691799224,2,300,90,1,3000
18,Zion,Shijiazhuang,Tianjin,1291020531852.0032,1291056531852.0032,3,249.51407691799224,5,300,90,1,3000
19,Zion,Tianjin,Shijiazhuang,1291106931852.0032,1291142931852.0032,3,249.51407691799224,4,300,90,1,3000
20,Zion,Tianjin,Beijing,1291193331852.0032,1291229331852.0032,1,115.92648299931139,3,300,90,1,3000
21,Zion,Taiyuan,Tianjin,1291279731852.0032,1291315731852.0032,3,413.7816180343131,5,300,90,1,3000
22,Zion,Taiyuan,Tianjin,1291366131852.0032,1291402131852.0032,2,413.7816180343131,3,300,90,1,3000
23,Zion,Taiyuan,Tianjin,1291452531852.0032,1291488531852.0032,2,413.7816180343131,3,300,90,1,3000
24,Zion,Tianjin,Shijiazhuang,1291538931852.0032,1291574931852.0032,2,249.51407691799224,2,300,90,1,3000
25,Zion,Beijing,Tianjin,1291625331852.0032,1291661331852.0032,2,115.92648299931139,5,300,90,1,3000
26,Zion,Tianjin,Beijing,1291711731852.0032,1291747731852.0032,2,115.92648299931139,5,300,90,1,3000
27,Zion,Taiyuan,Tianjin,1291798131852.0032,1291834131852.0032,3,413.7816180343131,4,300,90,1,3000
28,Zion,Tianjin,Beijing,1291884531852.0032,1291920531852.0032,3,115.92648299931139,2,300,90,1,3000
29,Zion,Taiyuan,Tianjin,1291970931852.0032,1292006931852.0032,3,413.7816180343131,5,300,90,1,3000
30,Zion,Taiyuan,Beijing,1292057331852.0032,1292093331852.0032,3,369.5257904633235,5,300,90,1,3000
31,Zion,Taiyuan,Tianjin,1292143731852.0032,1292179731852.0032,1,413.7816180343131,5,300,90,1,3000
32,Zion,Taiyuan,Shijiazhuang,1292230131852.0032,1292266131852.0032,1,175.76892590155305,2,300,90,1,3000
33,Zion,Shijiazhuang,Tianjin,1292316531852.0032,1292352531852.0032,2,249.51407691799224,4,300,90,1,3000
34,Zion,Shijiazhuang,Beijing,1292402931852.0032,1292438931852.0032,1,238.6230874528649,2,300,90,1,3000
35,Zion,Shijiazhuang,Taiyuan,1292489331852.0032,1292525331852.0032,3,175.76892590155305,3,300,90,1,3000
36,Zion,Shijiazhuang,Beijing,1292575731852.0032,1292611731852.0032,2,238.6230874528649,3,300,90,1,3000
37,Zion,Shijiazhuang,Taiyuan,1292662131852.0032,1292698131852.0032,1,175.76892590155305,5,300,90,1,3000
38,Zion,Shijiazhuang,Tianjin,1292748531852.0032,1292784531852.0032,2,249.51407691799224,3,300,90,1,3000
39,Zion,Taiyuan,Beijing,1292834931852.0032,1292870931852.0032,2,369.5257904633235,4,300,90,1,3000
40,Zion,Shijiazhuang,Tianjin,1292921331852.0032,1292957331852.0032,1,249.51407691799224,3,300,90,1,3000
41,Zion,Beijing,Shijiazhuang,1293007731852.0032,1293043731852.0032,3,238.6230874528649,2,300,90,1,3000
42,Zion,Beijing,Taiyuan,1293094131852.0032,1293130131852.0032,1,369.5257904633235,4,300,90,1,3000
43,Zion,Beijing,Taiyuan,1293180531852.0032,1293216531852.0032,3,369.5257904633235,2,300,90,1,3000
44,Zion,Beijing,Taiyuan,1293266931852.0032,1293302931852.0032,1,369.5257904633235,3,300,90,1,3000
45,Zion,Tianjin,Taiyuan,1293353331852.0032,1293389331852.0032,1,413.7816180343131,4,300,90,1,3000
46,Zion,Tianjin,Shijiazhuang,1293439731852.0032,1293475731852.0032,1,249.51407691799224,4,300,90,1,3000
47,Zion,Taiyuan,Beijing,1293526131852.0032,1293562131852.0032,2,369.5257904633235,3,300,90,1,3000
48,Zion,Tianjin,Beijing,1293612531852.0032,1293648531852.0032,2,115.92648299931139,4,300,90,1,3000
49,Zion,Shijiazhuang,Beijing,1293698931852.0032,1293734931852.0032,2,238.6230874528649,4,300,90,1,3000
50,Zion,Shijiazhuang,Tianjin,1293785331852.0032,1293821331852.0032,1,249.51407691799224,4,300,90,0,3000
51,Zion,Tianjin,Taiyuan,1293871731852.0032,1293907731852.0032,1,413.7816180343131,2,300,90,0,3000
52,Zion,Tianjin,Taiyuan,1293958131852.0032,1293994131852.0032,2,413.7816180343131,4,300,90,0,3000
53,Zion,Beijing,Tianjin,1294044531852.0032,1294080531852.0032,1,115.92648299931139,5,300,90,0,3000
54,Zion,Taiyuan,Beijing,1294130931852.0032,1294166931852.0032,3,369.5257904633235,2,300,90,0,3000
55,Zion,Beijing,Shijiazhuang,1294217331852.0032,1294253331852.0032,2,238.6230874528649,4,300,90,0,3000
56,Zion,Beijing,Shijiazhuang,1294303731852.0032,1294339731852.0032,1,238.6230874528649,2,300,90,0,3000
57,Zion,Beijing,Tianjin,1294390131852.0032,1294426131852.0032,1,115.92648299931139,4,300,90,0,3000
58,Zion,Shijiazhuang,Tianjin,1294476531852.0032,1294512531852.0032,1,249.51407691799224,3,300,90,0,3000
59,Zion,Tianjin,Taiyuan,1294562931852.0032,1294598931852.0032,3,413.7816180343131,5,300,90,0,3000
60,Zion,Taiyuan,Tianjin,1294649331852.0032,1294685331852.0032,1,413.7816180343131,4,300,90,0,3000
61,Zion,Tianjin,Taiyuan,1294735731852.0032,1294771731852.0032,1,413.7816180343131,4,300,90,0,3000
62,Zion,Taiyuan,Beijing,1294822131852.0032,1294858131852.0032,2,369.5257904633235,4,300,90,0,3000
63,Zion,Shijiazhuang,Tianjin,1294908531852.0032,1294944531852.0032,2,249.51407691799224,2,300,90,0,3000
64,Zion,Tianjin,Taiyuan,1294994931852.0032,1295030931852.0032,2,413.7816180343131,5,300,90,0,3000
65,Zion,Beijing,Taiyuan,1295081331852.0032,1295117331852.0032,3,369.5257904633235,2,300,90,0,3000
66,Zion,Beijing,Tianjin,1295167731852.0032,1295203731852.0032,2,115.92648299931139,5,300,90,0,3000
67,Zion,Beijing,Taiyuan,1295254131852.0032,1295290131852.0032,3,369.5257904633235,5,300,90,0,3000
68,Zion,Beijing,Taiyuan,1295340531852.0032,1295376531852.0032,2,369.5257904633235,3,300,90,0,3000
69,Zion,Taiyuan,Shijiazhuang,1295426931852.0032,1295462931852.0032,3,175.76892590155305,2,300,90,0,3000
70,Zion,Beijing,Taiyuan,1295513331852.0032,1295549331852.0032,3,369.5257904633235,4,300,90,0,3000
71,Zion,Tianjin,Shijiazhuang,1295599731852.0032,1295635731852.0032,1,249.51407691799224,5,300,90,0,3000
72,Zion,Shijiazhuang,Taiyuan,1295686131852.0032,1295722131852.0032,3,175.76892590155305,5,300,90,0,3000
73,Zion,Beijing,Taiyuan,1295772531852.0032,1295808531852.0032,3,369.5257904633235,3,300,90,0,3000
74,Zion,Shijiazhuang,Beijing,1295858931852.0032,1295894931852.0032,1,238.6230874528649,4,300,90,0,3000
75,Zion,Tianjin,Taiyuan,1295945331852.0032,1295981331852.0032,1,413.7816180343131,4,300,90,0,3000
76,Zion,Tianjin,Beijing,1296031731852.0032,1296067731852.0032,3,115.92648299931139,5,300,90,0,3000
77,Zion,Tianjin,Shijiazhuang,1296118131852.0032,1296154131852.0032,1,249.51407691799224,5,300,90,0,3000
78,Zion,Taiyuan,Shijiazhuang,1296204531852.0032,1296240531852.0032,3,175.76892590155305,4,300,90,0,3000
79,Zion,Tianjin,Beijing,1296290931852.0032,1296326931852.0032,1,115.92648299931139,5,300,90,0,3000
80,Zion,Shijiazhuang,Tianjin,1296377331852.0032,1296413331852.0032,2,249.51407691799224,3,300,90,0,3000
81,Zion,Taiyuan,Tianjin,1296463731852.0032,1296499731852.0032,3,413.7816180343131,4,300,90,0,3000
82,Zion,Taiyuan,Tianjin,1296550131852.0032,1296586131852.0032,2,413.7816180343131,5,300,90,0,3000
83,Zion,Tianjin,Beijing,1296636531852.0032,1296672531852.0032,2,115.92648299931139,2,300,90,0,3000
84,Zion,Taiyuan,Shijiazhuang,1296722931852.0032,1296758931852.0032,1,175.76892590155305,3,300,90,0,3000
85,Zion,Taiyuan,Shijiazhuang,1296809331852.0032,1296845331852.0032,2,175.76892590155305,5,300,90,0,3000
86,Zion,Taiyuan,Shijiazhuang,1296895731852.0032,1296931731852.0032,2,175.76892590155305,4,300,90,0,3000
87,Zion,Beijing,Shijiazhuang,1296982131852.0032,1297018131852.0032,1,238.6230874528649,2,300,90,0,3000
88,Zion,Taiyuan,Shijiazhuang,1297068531852.0032,1297104531852.0032,1,175.76892590155305,5,300,90,0,3000
89,Zion,Taiyuan,Beijing,1297154931852.0032,1297190931852.0032,3,369.5257904633235,4,300,90,0,3000
90,Zion,Tianjin,Beijing,1297241331852.0032,1297277331852.0032,1,115.92648299931139,3,300,90,0,3000
91,Zion,Beijing,Taiyuan,1297327731852.0032,1297363731852.0032,3,369.5257904633235,4,300,90,0,3000
